Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt
13620796,1,2,2,3,5,18,2,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
13620796,2,2,2,3,2,27,2,2,1,1,4,97,N,,,,,,,0,1,0,0,0,1,0
13620796,2,3,2,4,3,2,2,2,1,4,4,97,N,,,,,,,0,0,1,0,0,1,0
13620796,2,4,2,6,3,5,2,2,1,1,4,97,N,,,,,,,0,0,1,0,0,1,0
13626769,1,2,2,3,5,51,1,1,1,1,8,97,N,,,,,,,0,0,0,1,0,0,0
13626771,1,2,2,3,2,24,2,1,4,1,2,97,N,,,,,,,0,1,0,0,0,1,0
13626771,2,2,2,5,5,7,2,1,1,1,1,97,N,,,,,,,0,0,0,1,0,0,0
13626771,2,3,2,4,5,,2,2,4,4,2,97,N,,,,,,,0,0,0,1,0,0,0
13626780,2,2,2,1,5,22,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
13626781,2,2,6,4,2,21,3,1,4,11,1,2,N,,,,,,,0,1,0,0,0,1,0
13626782,1,2,2,4,5,0,1,1,1,1,1,97,N,,,,,,,0,0,0,1,0,0,0
13626785,1,2,2,4,5,32,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
13626785,1,3,2,5,5,4,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
13626785,1,4,2,6,5,10,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
13626785,2,2,2,3,5,52,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
13626786,1,2,2,3,2,24,1,1,1,1,8,97,N,,,,,,,0,1,0,0,0,1,0
13627107,2,1,2,6,5,19,2,1,1,8,2,97,N,,,,,,,0,0,0,1,0,0,0
