Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
13620796,1,8
13620796,2,96
13625015,1,96
13626769,1,96
13626769,2,96
13626770,1,96
13626770,2,96
13626770,3,99
13626771,1,8
13626771,2,96
13626772,1,96
13626772,2,96
13626772,3,96
13626773,1,96
13626773,2,96
13626774,1,96
13626774,2,96
13626780,1,96
13626780,2,96
13626781,1,96
13626781,2,96
13626782,1,96
13626782,2,96
13626782,3,96
13626783,1,96
13626784,1,96
13626784,2,96
13626785,1,96
13626785,2,96
13626786,1,96
13627107,1,96
13627108,1,8
13627108,2,96
13627109,1,96
13627109,2,96
13627110,1,96
13627110,2,96
13627111,1,96
13627111,2,96
13627112,1,96
13627112,2,96
13627114,1,96
13627114,2,96
13627116,1,96
13627116,2,96
13627117,1,96
13627117,2,96
13627118,1,8
13627119,1,96
13627119,2,96
13627120,1,96
13627367,1,96
13627367,2,96
13627368,1,96
13627368,2,96
13627369,1,96
13627369,2,96
13627369,3,96
13627370,1,96
13627370,2,96
13627371,1,96
13627371,2,96
13627372,1,96
13627373,1,8
13627373,2,8
13627374,1,96
13627374,2,3
13627374,2,4
13627374,2,6
13627375,1,96
13627375,2,96
13627406,1,2
13627406,2,96
13628958,1,96
13628958,2,96
13630072,1,96
13630072,2,96
13630078,1,99
13630079,1,8
13630080,1,96
13630080,2,98
13630081,1,96
13630082,1,96
13630119,1,96
13630119,2,96
13630122,1,8
13630124,1,96
13630124,2,8
13630125,1,98
13630251,1,96
13630251,2,96
13630533,1,99
13630534,1,96
13630534,2,96
13630535,1,96
13630535,2,96
13630652,1,96
13630652,2,96
13630653,1,8
13630653,2,8
13630653,3,96
13632368,1,96
13632368,2,96
13632369,1,8
13632369,2,96
13632370,1,8
13632370,2,96
13632371,1,96
13632371,2,96
13632371,3,96
13632372,1,96
13632372,2,96
13632373,1,8
13632373,2,96
13632374,1,96
13632374,2,96
13632375,1,96
13632375,2,7
13632375,3,96
13632376,1,96
13632377,1,96
13632377,2,96
13632664,1,96
13632664,2,96
13632664,3,96
13632683,1,96
13632683,2,96
13634808,1,96
13634808,2,96
13634808,3,96
13634897,1,8
13634898,1,96
13634898,2,96
13634899,1,96
13634899,2,98
13634900,1,99
13634900,2,99
13634901,1,8
13634901,2,8
13634901,3,96
13634902,1,96
13634902,2,96
13634903,1,98
13634904,1,96
13634904,2,96
13634904,3,96
13634905,1,99
13634906,1,8
13634906,2,96
13634907,1,96
13634907,2,96
13634908,1,96
13634909,1,96
13634910,1,96
13634910,2,96
13634911,1,96
13634911,2,96
13634912,1,96
13634912,2,96
13634913,1,96
13634913,2,8
13634914,1,96
13634915,1,96
13634916,1,96
13635003,1,96
13635003,2,96
13635003,3,96
13635004,1,96
13635005,1,96
13635005,2,96
13635687,1,96
13635689,1,96
13635689,2,96
13635690,1,96
13635690,2,96
13635691,1,3
13635691,1,6
13635691,3,98
13635692,1,96
13635692,2,96
13635693,1,96
13635693,2,96
13635693,3,8
13635694,1,96
13635694,2,96
13635695,1,96
13635695,2,96
13635696,1,96
13635696,2,99
13635696,3,96
13635697,1,96
13635697,2,96
13635697,3,96
13635697,4,96
13635698,1,96
13635698,2,96
13635718,1,96
13635718,2,96
13635718,3,96
13635719,1,96
13635719,2,96
13635720,1,96
13635720,2,96
13635720,3,96
13635721,1,96
13635722,1,96
13635722,2,96
13635723,1,96
13635723,2,96
13635723,3,96
13636261,1,8
13637930,1,96
13637930,2,96
13637930,3,99
13637931,1,96
13637931,2,96
13637944,1,96
13637944,2,96
13637945,1,99
13637946,1,8
13637946,2,96
13638079,1,96
13638079,2,96
13638080,1,96
13638080,2,96
13638080,3,96
13638080,4,96
13638080,5,96
13638080,6,96
13639596,1,96
13639596,2,96
13639597,1,96
13639599,1,96
13639601,1,96
13639601,2,96
13639602,1,96
13639603,1,96
13639604,1,96
13639604,2,96
13639604,3,96
13639605,1,96
13639605,2,96
13639609,1,96
13639609,2,8
13639609,3,96
13639615,1,98
13639615,2,96
13639615,3,96
13639619,1,96
13639619,2,96
13639619,3,96
13640626,1,99
13640626,2,99
13640626,3,96
13640641,1,99
13640642,1,96
13640642,2,96
13640643,1,96
13640643,2,98
13640643,3,96
13640643,4,96
13640645,1,3
13640645,2,96
13640895,1,96
13640895,2,96
13641729,1,96
13641729,2,96
13641729,3,96
13641768,1,96
13642236,1,96
13643366,1,96
13643366,2,96
13643367,1,96
13643368,1,96
13643368,2,8
13643369,1,96
13643370,1,96
13643370,2,96
13643371,1,96
13643371,2,96
13643372,1,96
13643372,2,3
13643372,2,6
13643373,1,96
13643373,2,96
13643373,3,96
13643374,1,96
13643374,2,96
13643375,1,96
13643375,2,96
13643376,1,96
13643376,2,96
13643377,1,99
13643377,2,96
13643467,1,99
13643467,2,96
13643468,1,96
13643468,3,96
13643469,1,96
13643469,2,96
13643471,1,98
13643471,2,96
13643472,1,96
13643472,2,96
13643473,1,96
13643473,2,96
13643587,1,8
13643588,1,8
13643588,2,8
13643588,3,8
13643589,1,96
13643589,2,96
13643589,3,96
13643590,1,96
13643590,2,96
13643591,1,96
13643591,2,96
13643698,1,96
13643698,2,96
13643706,1,96
13643707,1,96
13643707,2,96
13643708,1,96
13643710,1,96
13643710,2,96
13643711,1,96
13643711,2,96
13643711,3,96
13643712,1,96
13643712,2,96
13643791,1,4
13646347,1,96
13646347,2,96
13646348,1,98
13646348,2,96
13646349,1,96
13646349,2,96
13646350,1,96
13646350,2,8
13646351,1,96
13646351,2,3
13646351,2,5
13646351,2,6
13646354,2,96
13646356,1,96
13646357,1,96
13646357,2,96
13646358,1,96
13646358,2,96
13646358,3,96
13646359,1,96
13646359,2,96
13646360,1,96
13646660,1,99
13646661,1,96
13646661,2,8
13646662,1,96
13646662,3,96
13646662,4,96
13646662,5,96
13646663,1,96
13646663,2,96
13646664,1,96
13646664,2,96
13646665,1,96
13646665,2,96
13646666,1,96
13646667,1,96
13646667,3,8
13646667,4,96
13646668,1,96
13646668,2,96
13646668,3,96
13646669,1,99
13646669,2,96
13646670,1,96
13646670,2,96
13646670,3,96
13646671,1,96
13646671,2,96
13646672,1,96
13646672,2,96
13646672,3,96
13646672,4,96
13646673,1,99
13646673,2,98
13646673,3,96
13646687,1,96
13646687,2,96
13646688,1,8
13646688,2,96
13646690,1,96
13646691,1,96
13646691,2,96
13646692,1,96
13646693,1,99
13646959,1,96
13646959,2,96
13646961,1,96
13646961,2,96
13646962,1,96
13646963,1,96
13646964,1,96
13646965,1,96
13646965,2,96
13646966,1,96
13646966,2,96
13646967,1,96
13646967,2,96
13646968,1,96
13646968,2,96
13646969,1,96
13646969,2,96
13646970,1,99
13646971,1,96
13646971,2,96
13646972,1,96
13646972,2,96
13646973,1,96
13646973,2,96
13646973,3,96
13646974,1,99
13646974,2,96
13646975,1,99
13646975,2,96
13646976,1,96
13646976,2,96
13646976,3,96
13646977,1,96
13646977,2,96
13646977,3,96
13646978,1,8
13646978,2,96
13647029,1,96
13647031,1,96
13647031,2,96
13647031,3,96
13647032,1,96
13647686,1,96
13647686,2,96
13647687,1,98
13647687,2,96
13647688,1,96
13647688,2,96
13647688,3,96
13647689,1,96
13647690,1,99
13647691,1,8
13647692,1,96
13647692,2,96
13647693,1,96
13647693,2,96
13647694,1,96
13647695,1,96
13647696,1,96
13647696,2,96
13647698,1,96
13647699,1,96
13647699,2,96
13647701,1,98
13647701,2,96
13647702,1,96
13647702,2,96
13647703,1,96
13647703,2,96
13647703,3,96
13647704,1,96
13647705,1,96
13647706,1,8
13647706,2,96
13647761,1,96
13647761,2,96
13647762,1,96
13647763,1,96
13647763,2,96
13647763,3,96
13647764,1,96
13647764,2,96
13647765,1,96
13647766,1,99
13647766,2,96
13647767,1,96
13647768,1,96
13647769,1,96
13647769,2,96
13647770,1,96
13647770,2,96
13647770,3,96
13647771,1,98
13647772,1,96
13647773,1,96
13647773,2,96
13647774,1,96
13647774,2,96
13647774,3,96
13647775,1,96
13647776,1,96
13647776,2,96
13647777,1,96
13647778,1,99
13647778,2,99
13647779,1,99
13647779,2,96
13647779,3,96
13647780,1,96
13647812,1,8
13647812,2,96
13647813,1,99
13647813,2,96
13647813,3,96
13647814,1,8
13647815,1,96
13647815,2,96
13647815,3,96
13647815,4,96
13647816,1,96
13647816,2,96
13647817,1,96
13647817,2,96
13647818,1,96
13647818,2,96
13647819,1,96
13647819,2,96
13647820,1,96
13647820,2,96
13647865,1,96
13647865,2,96
13650107,1,96
13650107,2,96
13650107,3,96
13650109,1,3
13650109,2,96
13650110,1,96
13650110,2,96
13650111,1,96
13650112,1,8
13650112,2,96
13650113,1,8
13650114,1,96
13650114,2,98
13650115,1,96
13650116,1,96
13650117,1,96
13650119,1,96
13650119,2,96
13650120,1,96
13650120,2,96
13650244,1,96
13650244,2,96
13650247,1,96
13650247,2,96
13650583,1,96
13650584,1,96
13650584,3,96
13650585,1,8
13650585,2,96
13650585,3,8
13650586,1,96
13650586,2,96
13650587,1,96
13650587,2,96
13650588,1,96
13650588,2,96
13650589,1,96
13650590,1,99
13650592,1,99
13650593,1,96
13650593,2,96
13650595,1,96
13650595,2,96
13650615,1,96
13650615,2,96
13650616,1,96
13650616,2,96
13650617,1,96
13650617,2,96
13650617,3,98
13650618,1,8
13650618,2,96
13650619,1,96
13650619,2,96
13650620,1,96
13650620,2,96
13650621,1,96
13650621,2,96
13650622,1,96
13650622,2,96
13650623,1,96
13650623,2,96
13650624,1,96
13650624,2,5
13650625,1,96
13650625,2,98
13650626,1,96
13650626,2,96
13650627,1,96
13650627,2,96
13650628,1,96
13650629,1,99
13650630,1,96
13650630,2,96
13650631,1,98
13650631,2,96
13650632,1,98
13650632,2,96
13650634,1,96
13650634,2,96
13650635,1,96
13650635,2,96
13650659,1,96
13650659,2,96
13650659,3,96
13650660,1,96
13650660,2,96
13650660,3,96
13650661,1,96
13650661,2,96
13650661,3,96
13650661,4,96
13650662,1,96
13650662,2,96
13650662,3,8
13650663,1,98
13650664,1,96
13650664,2,96
13650664,3,96
13650665,1,98
13650665,2,96
13650666,1,96
13650666,2,99
13650667,1,96
13650668,1,96
13650668,2,96
13650669,1,96
13650669,3,96
13650669,4,96
13650669,5,96
13650669,6,96
13650669,7,96
13650669,8,96
13650670,1,96
13650670,2,98
13650671,1,99
13650672,1,96
13650673,1,96
13650673,2,96
13650674,1,96
13650674,2,96
13650675,1,96
13650675,2,96
13650675,3,96
13650676,1,96
13650676,2,96
13650677,1,96
13650677,2,98
13650678,1,96
13650678,2,96
13650716,1,96
13650716,2,96
13650717,1,99
13650718,1,96
13650718,2,8
13650718,3,96
13650718,4,99
13650719,1,96
13650719,2,96
13650719,3,98
13650720,1,96
13650720,2,96
13650721,1,98
13650721,2,96
13650722,1,96
13650722,2,99
13650723,1,96
13650723,2,96
13650724,1,96
13650724,2,96
13650724,3,96
13650724,4,96
13650725,1,96
13650725,2,96
13650726,1,96
13650726,2,96
13650726,3,96
13650727,1,96
13650727,2,96
13650727,3,96
13650728,1,96
13650728,2,8
13650729,1,8
13650729,2,5
13650729,3,96
13650730,1,96
13650730,2,96
13650731,1,8
13650732,1,8
13650733,1,3
13650734,1,96
13650735,1,96
13650756,1,96
13650757,1,96
13650757,2,98
13650758,1,8
13650759,1,99
13650759,2,99
13650760,1,96
13650760,2,96
13650760,3,96
13650761,1,96
13650761,2,96
13650762,1,96
13650762,2,96
13650763,1,96
13650763,2,96
13650763,3,96
13650763,4,96
13650764,1,96
13650764,2,96
13650765,1,96
13652099,1,8
13652099,2,96
13652100,1,96
13652100,2,96
13652101,1,96
13652101,2,96
13652101,3,96
13652101,4,96
13652334,1,8
13652334,2,96
13652335,1,96
13652335,2,99
13652563,1,8
13652691,1,99
13652691,2,96
13652693,1,96
13652693,2,96
13652694,1,96
13652694,2,96
13652695,1,99
13652695,3,96
13652696,1,96
13652696,2,96
13652696,3,96
13652697,2,96
13652699,1,96
13652786,1,98
13652787,1,96
13652787,2,96
13652788,1,96
13652788,2,98
13652788,3,96
13652789,1,96
13652789,2,96
13652790,1,96
13652790,2,96
13652791,1,96
13652791,2,96
13652793,1,96
13652794,1,96
13652794,2,8
13653326,1,96
13653326,2,96
13653405,1,96
13653405,2,96
13653406,1,8
13653408,1,96
13653409,1,96
13653409,3,96
13653410,1,96
13653410,2,8
13653410,4,96
13653529,1,99
13653529,2,96
13653530,1,8
13653530,2,96
13653532,1,96
13653532,2,96
13653532,3,96
13653533,1,96
13653535,1,96
13653535,2,98
13653536,1,96
13653536,2,99
13653537,1,96
13653537,2,96
13653538,1,96
13653538,2,96
13653538,3,96
13653539,1,99
13653539,2,98
13653541,1,96
13653542,1,96
13653542,2,98
13653543,1,96
13653544,1,96
13653544,2,96
13653545,1,96
13653545,2,99
13653547,2,96
13653551,1,99
13653551,2,96
13653552,1,96
13653552,2,96
13653553,1,96
13653553,2,8
13653661,1,96
13653661,2,96
13653662,1,96
13653662,2,96
13653663,1,96
13653663,2,96
13653664,1,8
13653665,1,96
13653665,2,96
13653666,1,96
13653666,2,96
13653667,1,96
13653667,2,96
13653668,1,96
13653668,2,96
13653669,1,8
13653670,1,96
13653671,1,96
13653672,2,96
13653672,3,96
13653673,1,96
13653673,2,96
13653674,1,96
13653674,2,96
13653675,1,8
13653675,2,8
13653676,1,96
13653676,2,96
13653765,1,96
13653879,1,98
13653879,2,98
13653884,1,96
13653884,2,98
13653885,1,8
13653886,1,96
13653887,1,96
13653887,2,8
13653888,1,96
13653888,2,96
13653888,3,96
13654350,1,96
13656258,1,96
13656258,2,96
13656258,3,96
13656259,1,96
13656259,2,98
13656260,1,96
13656262,1,96
13656262,2,96
13656263,1,99
13656263,3,99
13656263,4,99
13656264,1,99
13656264,2,99
13656264,3,99
13656264,4,99
13656264,5,99
13656264,6,99
13656264,7,99
13656264,8,99
13656264,9,99
13656264,10,99
13656264,11,99
13656264,12,99
13656265,1,96
13656266,1,96
13656421,1,96
13656421,2,96
13656588,1,96
13656588,2,98
