Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt
16180147,1,2,2,4,5,3,1,1,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
16180147,1,3,2,6,5,5,1,2,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
16180147,1,4,2,8,5,5,1,2,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
16180148,1,2,2,3,5,13,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16180148,1,3,2,6,5,5,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16180148,3,2,2,6,5,27,3,2,1,1,0,97,N,,,,,,,0,0,0,1,0,0,0
16180148,4,2,2,3,2,32,2,2,1,1,0,97,N,,,,,,,0,1,0,0,0,1,0
16180149,1,2,2,3,5,30,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16180166,2,2,2,3,5,11,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16180166,2,3,2,6,5,8,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16180166,2,4,2,4,5,5,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16180174,1,2,2,3,5,26,1,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
16180175,1,2,2,4,5,1,,2,1,5,2,97,N,,,,,,,0,0,0,1,0,0,0
16180419,2,2,2,3,5,18,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16180420,2,2,2,3,5,20,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16180421,1,2,2,3,5,13,2,1,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
16180421,1,3,2,6,5,13,2,2,1,8,3,97,N,,,,,,,0,0,0,1,0,0,0
16180421,2,2,2,3,5,39,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16180819,1,2,2,3,5,23,2,2,1,1,8,97,N,,,,,,,0,0,0,1,0,0,0
16180821,1,2,2,3,5,27,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16180824,1,2,2,3,3,16,1,2,4,11,1,97,N,,,,,,,0,0,1,0,0,1,0
16180824,1,3,2,4,5,11,1,2,1,1,1,97,N,,,,,,,0,0,0,1,0,0,0
16180825,2,2,2,3,3,38,1,1,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
16180831,2,2,2,3,0,,,0,5,10,0,97,N,,,,,,,0,0,0,0,1,0,0
16180841,2,2,2,3,5,51,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16180841,2,3,2,4,5,22,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16180844,1,2,2,3,5,22,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16182217,1,2,2,6,3,10,2,2,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
16182217,1,3,2,4,3,7,2,2,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
16182657,1,2,2,3,3,22,3,1,1,10,2,97,N,,,,,,,0,0,1,0,0,1,0
16182657,1,3,2,6,3,20,3,1,1,10,2,97,N,,,,,,,0,0,1,0,0,1,0
16182661,1,2,2,3,5,13,2,1,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
16182661,2,2,2,3,5,20,2,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
16182663,2,2,2,3,5,20,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16182666,1,2,2,3,2,29,1,1,1,1,2,97,N,,,,,,,0,1,0,0,0,1,0
16182666,1,3,2,5,5,31,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16182700,1,2,2,3,5,45,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16182702,1,2,2,4,5,4,1,2,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
16182702,2,2,2,3,3,33,3,2,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
16182705,2,2,2,5,5,1,1,1,1,5,2,97,N,,,,,,,0,0,0,1,0,0,0
16182706,3,2,2,3,5,39,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16182713,1,2,2,6,5,29,,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16182713,1,3,2,4,5,2,,1,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
