Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
16179857,1,19
16179857,3,1
16180145,1,20
16180145,2,19
16180146,1,19
16180147,1,19
16180147,2,19
16180148,1,20
16180148,2,19
16180148,3,19
16180148,4,19
16180149,1,19
16180150,1,20
16180151,1,19
16180151,2,19
16180161,1,19
16180161,2,20
16180162,1,20
16180164,2,19
16180165,1,1
16180165,2,19
16180166,1,1
16180166,2,19
16180166,3,19
16180167,1,19
16180168,1,19
16180168,2,19
16180169,1,99
16180169,2,19
16180170,1,99
16180170,2,19
16180171,1,19
16180171,2,19
16180173,1,99
16180174,1,19
16180175,1,19
16180175,2,21
16180176,1,20
16180417,1,19
16180417,2,99
16180418,1,1
16180418,1,21
16180418,2,1
16180419,1,19
16180419,2,1
16180420,1,19
16180420,2,19
16180421,1,20
16180421,2,19
16180421,3,19
16180819,1,19
16180819,2,99
16180820,1,19
16180821,1,19
16180822,1,20
16180822,2,20
16180823,1,19
16180823,2,19
16180823,3,19
16180824,1,1
16180825,1,19
16180825,2,20
16180826,1,20
16180826,2,19
16180827,1,1
16180828,1,19
16180828,3,19
16180829,1,20
16180829,2,19
16180830,1,19
16180830,2,19
16180831,1,20
16180832,1,20
16180832,2,19
16180832,3,19
16180832,4,19
16180833,1,1
16180833,2,23
16180834,1,1
16180834,2,19
16180835,1,19
16180835,2,19
16180836,1,19
16180836,2,19
16180841,1,19
16180841,2,19
16180843,1,20
16180844,1,19
16180844,2,19
16180845,1,20
16180846,1,19
16180847,1,99
16180848,1,19
16180848,2,19
16180867,1,99
16180867,2,99
16180868,1,19
16180868,2,19
16180869,1,19
16180869,2,19
16180870,1,19
16180870,2,19
16180871,1,1
16180871,2,1
16180872,1,20
16180872,2,19
16180873,1,98
16180873,2,1
16182186,1,1
16182186,2,99
16182217,1,19
16182453,1,19
16182453,2,19
16182657,1,19
16182657,2,1
16182659,1,99
16182660,1,99
16182660,3,19
16182661,1,19
16182661,2,19
16182662,1,19
16182663,1,20
16182663,2,19
16182664,1,20
16182664,2,19
16182665,1,19
16182665,2,19
16182665,3,1
16182665,4,19
16182666,1,21
16182666,2,1
16182695,1,19
16182695,2,98
16182696,1,19
16182696,2,19
16182699,1,20
16182699,2,20
16182699,3,19
16182700,1,98
16182700,3,1
16182701,1,19
16182701,2,19
16182702,1,19
16182702,2,19
16182703,1,20
16182703,2,19
16182704,1,1
16182704,2,20
16182705,1,19
16182705,2,19
16182706,1,1
16182706,2,19
16182706,3,19
16182707,1,99
16182709,1,99
16182709,2,99
16182712,1,98
16182712,3,20
16182713,1,19
16182713,2,19
16182717,1,20
16182718,1,98
16182718,2,19
16182719,1,19
16182719,2,1
16182721,1,1
16182721,2,19
16182723,1,23
16182723,2,19
16182724,1,1
16182724,2,20
16182725,1,98
16182725,2,99
16182738,1,99
16182738,2,19
16182738,3,19
16182739,1,1
16182739,2,1
16182740,1,19
16184404,1,19
16184404,2,19
16185776,1,19
16185776,2,20
16185843,1,20
16185843,2,20
16185858,1,1
16185981,1,99
16185982,1,20
16185983,1,20
16185983,2,19
16185985,1,9
16185985,2,19
16185986,1,99
16185986,2,1
16186033,1,19
16186033,2,19
16186034,1,1
16186035,1,1
16186036,1,19
16186036,2,19
16186037,1,98
16186038,1,19
16186038,2,98
16186039,1,19
16186039,2,19
16186040,1,19
16186040,2,20
16186043,1,19
16186043,2,19
16186043,3,19
16186052,1,1
16186052,2,1
16186058,1,1
16186058,2,1
16186058,3,98
16186062,1,19
16186062,2,19
16186062,3,19
16186062,4,19
16186063,1,19
16186064,1,19
16186065,1,19
16186065,2,19
16186066,1,19
16186067,1,99
16186067,2,20
16186067,3,19
16186067,4,19
16186067,5,19
16186067,6,1
16186067,7,98
16186067,9,19
16186067,10,19
16186067,11,19
16186067,12,19
16186067,13,19
16186067,14,19
16186067,15,19
16186067,16,19
16186067,17,19
16186067,18,19
16186068,1,20
16186068,2,1
16186069,1,19
16186069,2,1
16186070,1,19
16186070,2,19
16186071,1,19
16186071,2,19
16186072,1,98
16186072,2,19
16186111,1,1
16186112,1,19
16186112,2,19
16186113,1,1
16186113,2,1
16186114,1,19
16186114,2,21
16186115,1,98
16186115,2,1
16186116,1,19
16186116,2,19
16186117,1,19
16186118,1,1
16186118,2,20
16186118,3,19
16186118,4,19
16186119,1,98
16186119,2,19
16186119,3,1
