Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
16179857,1,96
16179857,3,96
16180145,1,8
16180145,2,96
16180146,1,96
16180147,1,96
16180147,2,96
16180148,1,8
16180148,2,96
16180148,3,96
16180148,4,96
16180149,1,96
16180150,1,8
16180151,1,96
16180151,2,96
16180161,1,96
16180161,2,8
16180162,1,8
16180164,2,96
16180165,1,96
16180165,2,96
16180166,1,96
16180166,2,96
16180166,3,96
16180167,1,96
16180168,1,96
16180168,2,96
16180169,1,99
16180169,2,96
16180170,1,99
16180170,2,96
16180171,1,96
16180171,2,96
16180173,1,99
16180174,1,96
16180175,1,96
16180175,2,96
16180176,1,8
16180417,1,96
16180417,2,99
16180418,1,96
16180418,2,96
16180419,1,96
16180419,2,96
16180420,1,96
16180420,2,96
16180421,1,8
16180421,2,96
16180421,3,96
16180819,1,96
16180819,2,99
16180820,1,96
16180821,1,96
16180822,1,8
16180822,2,8
16180823,1,96
16180823,2,96
16180823,3,96
16180824,1,96
16180825,1,96
16180825,2,8
16180826,1,8
16180826,2,96
16180827,1,96
16180828,1,96
16180828,3,96
16180829,1,8
16180829,2,96
16180830,1,96
16180830,2,96
16180831,1,8
16180832,1,8
16180832,2,96
16180832,3,96
16180832,4,96
16180833,1,96
16180833,2,96
16180834,1,96
16180834,2,96
16180835,1,96
16180835,2,96
16180836,1,96
16180836,2,96
16180841,1,96
16180841,2,96
16180843,1,8
16180844,1,96
16180844,2,96
16180845,1,8
16180846,1,96
16180847,1,99
16180848,1,96
16180848,2,96
16180867,1,99
16180867,2,99
16180868,1,96
16180868,2,96
16180869,1,96
16180869,2,96
16180870,1,96
16180870,2,96
16180871,1,96
16180871,2,96
16180872,1,8
16180872,2,96
16180873,1,98
16180873,2,96
16182186,1,96
16182186,2,99
16182217,1,96
16182453,1,96
16182453,2,96
16182657,1,96
16182657,2,96
16182659,1,99
16182660,1,99
16182660,3,96
16182661,1,96
16182661,2,96
16182662,1,96
16182663,1,8
16182663,2,96
16182664,1,8
16182664,2,96
16182665,1,96
16182665,2,96
16182665,3,96
16182665,4,96
16182666,1,96
16182666,2,96
16182695,1,96
16182695,2,98
16182696,1,96
16182696,2,96
16182699,1,8
16182699,2,8
16182699,3,96
16182700,1,98
16182700,3,96
16182701,1,96
16182701,2,96
16182702,1,96
16182702,2,96
16182703,1,8
16182703,2,96
16182704,1,96
16182704,2,8
16182705,1,96
16182705,2,96
16182706,1,96
16182706,2,96
16182706,3,96
16182707,1,99
16182709,1,99
16182709,2,99
16182712,1,98
16182712,3,8
16182713,1,96
16182713,2,96
16182717,1,8
16182718,1,98
16182718,2,96
16182719,1,96
16182719,2,3
16182719,2,4
16182719,2,6
16182721,1,96
16182721,2,96
16182723,1,96
16182723,2,96
16182724,1,96
16182724,2,8
16182725,1,98
16182725,2,99
16182738,1,99
16182738,2,96
16182738,3,96
16182739,1,96
16182739,2,96
16182740,1,96
16184404,1,96
16184404,2,96
16185776,1,96
16185776,2,8
16185843,1,8
16185843,2,8
16185858,1,96
16185981,1,99
16185982,1,8
16185983,1,8
16185983,2,96
16185985,1,96
16185985,2,96
16185986,1,99
16185986,2,96
16186033,1,96
16186033,2,96
16186034,1,96
