Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt
14842077,2,2,2,3,5,51,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842077,2,3,2,4,5,85,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842077,2,4,2,6,5,13,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842077,2,5,2,7,5,15,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842077,2,6,2,9,5,11,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842079,1,2,2,3,5,42,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842079,1,3,2,6,5,37,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842083,2,2,2,3,5,39,1,2,1,1,8,97,N,,,,,,,0,0,0,1,0,0,0
14842084,1,2,2,3,5,10,1,1,1,1,4,97,N,,,,,,,0,0,0,1,0,0,0
14842084,2,2,2,3,5,10,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842122,2,2,2,3,5,27,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842123,2,2,2,3,3,41,2,1,1,1,1,97,N,,,,,,,0,0,1,0,0,1,0
14842127,1,2,2,3,5,20,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842127,1,3,2,3,5,21,3,1,1,1,1,97,N,,,,,,,0,0,0,1,0,0,0
14842127,2,2,2,3,5,27,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842130,2,2,2,3,5,79,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842133,2,2,2,3,5,35,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842136,1,2,2,3,5,30,1,1,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
14842136,1,3,2,4,5,30,1,1,1,1,4,97,N,,,,,,,0,0,0,1,0,0,0
14842136,1,4,2,6,5,19,1,1,1,1,4,97,N,,,,,,,0,0,0,1,0,0,0
14842136,2,2,2,3,5,81,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842136,3,2,2,3,5,32,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842136,3,3,2,4,5,2,2,1,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
14842136,3,4,2,5,5,0,4,2,1,5,2,97,N,,,,,,,0,0,0,1,0,0,0
14842136,3,5,2,6,5,31,4,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842136,3,6,2,7,5,12,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14842136,3,7,2,9,5,34,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
