Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
14842077,1,1
14842077,2,1
14842078,1,20
14842078,2,19
14842079,1,1
14842080,1,19
14842081,1,20
14842082,1,20
14842082,2,20
14842083,1,1
14842083,2,1
14842084,1,1
14842084,2,21
14842085,1,21
14842086,1,1
14842122,1,20
14842122,2,19
14842123,1,19
14842123,2,19
14842124,1,19
14842125,1,1
14842126,1,1
14842127,1,19
14842127,2,19
14842128,1,20
14842128,2,20
14842128,3,20
14842129,1,19
14842130,1,98
14842130,2,19
14842131,1,20
14842131,2,19
14842133,1,19
14842133,2,19
14842133,3,1
14842134,1,19
14842134,2,19
14842135,1,20
14842135,2,20
14842136,1,19
14842136,2,19
14842136,3,98
14842137,1,19
14842137,2,19
14842138,1,19
14842138,2,19
14842139,1,20
14842139,2,19
14842140,1,19
14842140,2,1
14842141,1,19
14842141,2,1
14842142,1,20
14842142,2,1
14842143,1,19
14842143,2,20
14842144,1,20
14842144,2,20
14842145,1,19
14842146,1,20
14842146,2,19
14842147,1,19
14842182,1,19
14842182,2,1
14842183,1,19
14842183,2,20
14842184,1,98
14842185,1,99
14842185,2,1
14842185,3,1
14842185,4,19
14842186,1,20
14842187,1,1
14842187,2,1
14842188,1,19
14842188,2,19
14842189,1,19
14842189,2,19
14842189,3,19
14842189,4,19
14842189,5,20
14842190,1,19
14842190,2,19
14842191,1,19
14842191,2,1
14842192,1,19
14842193,1,99
14842193,2,19
14842194,1,19
14842195,1,19
14842196,1,20
14842197,1,19
14842197,2,1
14842198,1,98
14842198,2,1
14842200,1,1
14842201,1,1
14842201,2,1
14842202,1,49
14842202,2,19
14842203,1,19
14842203,2,1
14842204,1,19
14842205,1,19
14842205,2,19
14842205,3,19
14842205,4,19
14842218,1,19
14842218,2,1
14842225,1,99
14842225,2,98
14842225,3,19
14842225,4,19
14842225,5,19
14842225,6,1
14842252,1,1
14842252,2,1
14842252,3,1
14842253,1,1
14842253,2,1
14842254,1,20
14842254,2,19
14842254,3,19
14842254,4,19
14842255,1,20
14842255,2,19
14842256,1,1
14842256,2,1
14842256,3,19
14842257,1,99
14842258,1,19
14842258,2,1
14842259,1,19
14842259,2,19
14842259,3,1
14844412,1,19
14844412,2,1
14844413,1,99
14844414,1,1
14844414,2,19
14844415,1,1
14844416,1,99
14844416,2,99
14844457,1,1
14844457,2,19
14844458,1,98
14844459,1,19
14844460,1,19
14844460,2,19
14844460,3,1
14844462,1,19
14844462,2,1
14844463,1,99
14844463,2,19
14844463,3,1
14844464,1,1
14844464,2,1
14844464,3,19
14844464,4,19
14844465,1,19
14844465,2,19
14844466,1,1
14844466,2,1
14844467,1,20
14844467,2,19
14844469,1,1
14844469,2,1
14844469,3,20
14844470,1,19
14844470,2,19
14844471,1,19
14844471,2,19
14844471,3,99
14844472,1,99
14844472,2,19
14844472,3,19
14844473,1,19
14844473,2,19
14844473,3,99
14844473,4,99
14844474,1,20
14844474,2,99
14844475,1,19
14844475,2,19
14844476,1,1
14844476,2,19
14844476,3,64
14844477,1,19
14844477,2,19
14844478,1,19
14844478,2,99
14844479,1,99
14844479,3,19
14844480,1,99
14844480,2,99
14844480,3,99
14844480,4,99
14844481,1,1
14844481,2,19
14844481,3,19
14844481,4,1
14844569,1,19
14844569,2,1
14845586,1,1
14845586,2,15
14845586,3,19
14845586,4,20
14848766,1,19
14848766,2,98
14848767,1,19
14848768,1,20
14848769,1,98
14848769,2,99
14848769,3,99
14848770,1,20
14848770,2,19
14848771,1,1
14848771,2,19
14848794,1,19
14848794,2,19
14848795,1,19
14848796,1,19
14848797,1,20
14848797,2,19
14848798,1,1
14848799,1,98
14848799,2,19
14848800,1,20
14848800,2,19
14848801,1,19
14848801,2,19
14848802,1,20
14848802,2,20
14848802,3,1
14848803,1,19
14848803,3,19
14848804,1,1
14848804,2,19
14848804,3,1
14848804,4,19
14848805,1,19
14848805,2,1
14848806,1,49
14848807,1,1
14848807,2,19
14848807,3,19
14848812,1,1
14848813,1,1
14848814,1,1
14848814,2,20
14848815,1,19
14848815,2,19
14848815,3,19
14848816,1,20
14848816,2,1
14848817,1,98
14848817,2,1
14848817,3,1
14848818,1,20
14848818,2,1
14848819,1,19
14848820,1,20
14848820,2,98
14848821,1,19
14848821,2,19
14848822,1,1
14848822,2,19
14848864,1,19
14848864,2,99
14848865,1,1
14848866,1,19
14848866,2,19
14848868,1,1
14848868,2,19
14848868,3,19
14848869,1,1
14848871,1,10
14848871,2,1
14848871,3,1
14848872,1,1
14848872,2,19
14848873,1,19
14848873,2,20
14848874,1,19
14848874,2,19
14848875,1,1
14848875,3,1
14848876,1,29
14848877,1,19
14848877,3,1
14848878,1,20
14848878,2,20
14848879,1,19
14848879,2,98
14848882,1,1
14848886,1,19
14848891,1,19
14848892,1,19
14848892,2,19
14848893,1,19
14848893,2,1
14848894,1,19
14848894,2,19
14848894,3,20
14848894,4,19
14848895,1,21
14848896,1,1
14848896,2,20
14848897,1,20
14848897,2,19
14848917,1,19
14848917,2,20
14848917,3,20
14848918,1,1
14848919,1,1
14848919,2,98
14848920,1,1
14848921,1,20
14848921,2,19
14848922,1,19
14848922,2,20
14848923,1,19
14848923,2,1
14848924,1,1
14848924,2,19
