Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
11827750,1,1
11827750,2,1
11832817,1,99
11832817,2,19
11845390,1,98
11845390,3,1
11846238,1,19
11846238,2,19
11846241,1,99
11846241,2,19
11846242,1,19
11846242,2,19
11846243,1,21
11846245,1,1
11846246,1,19
11846246,2,19
11846247,3,1
11846248,1,19
11846248,2,99
11846249,1,19
11846249,2,19
11846250,1,21
11846252,2,1
11846253,1,19
11846253,2,19
11846255,1,19
11846255,2,19
11846258,1,19
11846258,2,19
11846259,1,19
11846259,2,19
11846286,2,1
11846288,1,1
11846288,2,20
11846290,1,1
11846290,2,20
11846292,1,20
11846298,1,19
11846298,2,19
11846300,1,19
11846300,2,19
11846300,3,1
11846301,1,1
11846301,2,20
11846301,3,1
11846301,4,19
11846302,1,19
11846302,2,19
11846302,3,1
11846305,1,23
11846306,1,19
11846306,2,19
11846308,1,19
11846308,2,19
11846309,1,19
11846309,2,19
11846310,1,19
11846310,2,19
11846312,1,1
11846312,2,1
11846313,1,99
11846314,1,1
11846314,2,19
11846315,1,20
11846319,1,1
11846319,2,19
11846320,1,19
11846836,1,1
11846836,2,99
11846840,1,19
11846840,2,19
11846841,1,98
11846841,2,19
11846842,1,20
11846842,2,1
11846843,1,19
11846843,2,1
11846844,2,19
11846845,1,1
11846845,3,1
11846846,1,99
11846847,1,20
11846847,2,99
11846847,3,99
11846850,1,1
11846851,1,19
11846851,3,19
11846852,1,1
11846852,2,1
11846853,1,19
11846853,2,19
11846855,1,20
11846855,2,1
11846856,1,98
11846857,1,20
11846857,2,19
11846859,1,19
11846860,1,20
11846860,2,20
11846861,1,19
11846861,2,19
11846862,1,1
11846863,1,20
11846864,1,19
11846864,2,1
11846865,1,19
11846866,1,19
11846866,2,19
11846867,1,1
11846867,2,19
11846868,1,19
11846869,1,20
11846869,2,20
11846870,1,19
11846870,2,1
11846871,1,98
11846872,1,19
11846872,2,19
11846873,1,98
11846873,2,19
11846873,3,19
11846875,1,19
11846875,2,19
11846877,1,19
11847189,1,1
11847189,2,1
11847190,1,19
11847190,3,19
11847205,1,99
11847205,2,99
11847205,3,99
11847208,1,99
11847208,2,25
11854915,2,1
11854915,3,19
11856490,1,19
11856490,2,19
11857911,1,98
11858220,1,19
11858220,2,19
11860480,1,1
11860480,2,19
11860717,1,23
11860718,1,19
11860719,1,19
11860719,2,1
11860720,1,19
11860720,2,19
11860721,1,1
11860721,2,1
11860721,3,1
11860722,1,19
11860722,2,19
11860723,1,19
11860723,2,20
11860723,3,19
11860726,1,19
11860726,2,20
11860730,1,1
11860731,1,20
11860731,2,20
11860732,1,19
11860733,1,1
11860734,1,19
11860734,2,1
11860737,1,20
11860737,2,1
11860737,3,19
11860740,2,1
11860741,1,19
11860741,2,19
11860741,3,19
11860742,1,1
11860743,1,19
11860743,2,1
11860745,1,19
11860745,2,19
11860746,1,98
11860746,2,19
11860747,1,19
11860747,2,19
11860747,3,19
11860748,1,19
11860748,2,98
11860750,1,19
11860750,2,20
11860750,3,1
11860750,4,19
11860755,1,1
11860757,1,1
11860757,2,1
11860759,1,20
11860759,2,19
11860763,1,19
11860763,2,99
11860767,1,1
11860770,1,19
11860770,2,19
11860783,1,19
11860785,1,19
11860787,1,1
11860787,2,19
11860788,1,19
11860790,1,1
11860790,2,19
11860792,1,19
11860795,1,19
11860795,2,20
11860796,1,19
11860796,2,19
11860797,1,19
11860798,1,99
11860799,1,1
11860799,2,1
11860802,1,1
11860802,2,19
11860803,1,19
11860804,1,1
11860807,1,99
11860809,1,20
11860810,1,1
11860812,1,98
11860813,1,19
11860814,1,20
11860816,2,1
11860817,2,1
11860819,1,19
11860819,2,98
11860821,1,1
11860821,2,1
11860823,1,98
11860825,1,19
11860827,1,98
11860827,2,19
11860829,1,99
11860829,2,19
11860833,1,19
11860833,2,19
11860835,1,19
11860842,1,99
11860844,1,19
11860844,2,20
11860844,3,19
11860847,1,19
11860847,2,19
11860848,1,1
11860848,2,19
11860849,1,19
11860855,1,19
11860855,2,19
11860856,1,19
11860856,2,19
11860857,2,98
11860858,1,19
11860858,2,19
11860859,1,19
11860859,2,1
11860860,1,19
11860860,2,19
11860862,1,19
11860862,2,19
11860863,1,99
11860863,2,99
11860864,1,99
11860864,2,1
11860866,1,19
11860866,2,19
11860867,1,19
11860867,2,19
11860868,1,19
11860868,2,1
11860869,1,99
11860869,2,19
11860870,1,19
11860870,2,1
11860870,3,19
11860871,1,1
11860871,2,20
11860872,1,19
11860872,2,19
11860873,1,99
11860873,2,99
11860874,2,98
11860874,3,1
11860875,1,19
11860875,2,19
11860876,1,19
11860876,2,19
11860877,1,99
11860878,1,99
11860878,2,99
11860878,3,99
11860879,1,1
11860879,2,1
11860880,1,1
11860881,1,19
11860881,2,1
11860898,1,1
11860899,1,1
11860899,2,19
11860900,2,20
11860904,1,99
11860908,1,19
11860908,3,26
11860909,1,19
11860909,2,1
11860911,1,19
11860913,1,19
11860913,2,19
11860914,1,1
11860916,1,19
11860916,2,19
11860917,1,19
11860917,2,98
11860918,1,20
11860919,1,1
11860919,2,1
11860920,1,19
11860920,2,1
11860921,1,20
11860922,1,1
11860922,2,19
11860923,1,19
