Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
11827750,1,5
11832817,1,99
11832817,2,96
11845390,1,98
11845390,3,96
11846238,1,96
11846238,2,96
11846241,1,99
11846241,2,96
11846242,1,96
11846242,2,96
11846246,1,96
11846246,2,96
11846248,1,96
11846248,2,99
11846249,1,96
11846249,2,96
11846250,1,96
11846253,1,2
11846253,2,96
11846255,1,96
11846255,2,96
11846259,1,96
11846259,2,96
11846288,1,96
11846288,2,8
11846290,1,96
11846290,2,8
11846292,1,8
11846298,1,96
11846298,2,96
11846300,1,96
11846300,2,96
11846300,3,96
11846301,1,96
11846301,2,8
11846301,3,96
11846301,4,96
11846305,1,96
11846308,1,96
11846308,2,96
11846309,1,96
11846309,2,96
11846310,1,96
11846310,2,96
11846312,1,96
11846312,2,96
11846313,1,99
11846314,1,96
11846314,2,96
11846315,1,8
11846317,1,96
11846317,2,96
11846319,1,96
11846319,2,96
11846836,1,96
11846836,2,99
11846840,1,96
11846840,2,96
11846841,1,98
11846841,2,96
11846842,1,8
11846843,1,96
11846843,2,96
11846844,2,96
11846846,1,99
11846847,1,8
11846847,2,99
11846847,3,99
11846850,1,96
11846851,1,96
11846851,3,96
11846852,1,96
11846852,2,96
11846853,1,96
11846853,2,96
11846855,1,8
11846856,1,96
11846857,1,8
11846857,2,96
11846859,1,96
11846860,1,8
11846860,2,8
11846861,1,96
11846861,2,96
11846862,1,96
11846863,1,8
11846864,1,96
11846864,2,96
11846865,1,96
11846866,1,99
11846866,2,96
11846867,1,3
11846867,2,96
11846868,1,96
11846869,1,8
11846869,2,8
11846870,1,96
11846870,2,96
11846871,1,96
11846872,1,96
11846872,2,96
11846873,1,96
11846873,2,96
11846873,3,96
11846875,1,96
11846875,2,96
11846877,1,96
11847189,1,96
11847190,1,6
11847190,3,96
11847205,1,99
11847205,2,96
11847205,3,99
11847208,1,99
11847208,2,2
11854915,3,96
11856490,1,96
11856490,2,96
11857911,1,98
11858220,1,96
11858220,2,96
11860480,1,96
11860480,2,96
11860716,1,96
11860716,2,96
11860718,1,96
11860720,1,96
11860720,2,96
11860721,1,96
11860721,2,96
11860721,3,96
11860723,1,96
11860723,2,8
11860723,3,96
11860726,1,96
11860726,2,8
11860730,1,96
11860731,1,8
11860731,2,8
11860732,1,96
11860734,1,96
11860734,2,96
11860737,1,8
11860741,1,96
11860741,2,96
11860741,3,96
11860742,1,96
11860743,1,96
11860743,2,96
11860745,1,96
11860745,2,96
11860746,1,96
11860746,2,96
11860747,1,96
11860747,2,96
11860747,3,96
11860748,1,2
11860748,2,98
11860750,1,96
11860750,2,8
11860750,3,96
11860750,4,96
11860757,1,6
11860757,2,99
11860759,1,8
11860759,2,96
11860763,1,96
11860763,2,99
11860770,1,96
11860770,2,96
11860783,1,96
11860785,1,96
11860787,1,96
11860787,2,96
11860788,1,96
11860792,1,96
11860795,1,96
11860795,2,8
11860796,1,96
11860796,2,96
11860797,1,96
11860802,1,96
11860802,2,96
11860803,1,96
11860807,1,99
11860808,1,96
11860809,1,8
11860810,1,96
11860812,1,96
11860813,1,96
11860814,1,8
11860819,1,96
11860819,2,98
11860821,1,96
11860821,2,96
11860823,1,96
11860825,1,96
11860827,1,96
11860827,2,96
11860829,1,99
11860829,2,96
11860833,1,96
11860833,2,96
11860835,1,96
11860842,1,99
11860844,1,96
11860844,2,8
11860844,3,96
11860847,1,96
11860847,2,96
11860848,1,96
11860848,2,96
11860849,1,96
11860855,1,96
11860855,2,96
11860856,1,96
11860856,2,96
11860857,2,98
11860858,1,96
11860858,2,96
11860859,1,96
11860859,2,3
11860860,1,96
11860860,2,96
11860862,1,96
11860862,2,96
11860863,1,99
11860863,2,99
11860864,1,99
11860864,2,96
11860866,1,96
11860866,2,96
11860867,1,96
11860867,2,96
11860868,1,96
11860868,2,96
11860869,1,99
11860869,2,96
11860870,1,96
11860870,2,96
11860870,3,96
11860871,1,96
11860871,2,8
11860872,1,96
11860872,2,96
11860873,1,99
11860873,2,99
11860874,2,98
11860874,3,96
11860875,1,96
11860875,2,96
11860876,1,96
11860876,2,96
11860878,1,99
11860878,2,99
11860878,3,99
11860879,1,96
11860879,2,96
11860881,1,96
11860881,2,96
11860899,1,96
11860899,2,96
11860900,2,8
11860904,1,99
11860908,1,96
11860908,3,3
11860909,1,96
11860909,2,96
11860911,1,96
11860913,1,96
11860913,2,96
11860916,1,96
11860916,2,96
11860917,1,96
11860917,2,98
11860918,1,8
11860919,1,96
11860919,2,96
11860920,1,96
11860920,2,96
11860921,1,8
11860922,1,96
11860922,2,96
11860923,1,96
11860923,2,96
11860924,1,96
11860924,2,96
11860925,1,96
11860925,2,99
11860926,1,96
11860926,2,96
11860927,1,99
11860927,2,96
11860932,1,96
11860932,2,96
11860934,1,99
11860934,2,96
11860936,1,96
11860936,2,96
11860942,1,96
11860944,1,3
11860944,1,4
11860944,1,6
11860944,3,96
11860946,2,96
11860948,1,8
11860948,2,96
11860948,3,96
11860959,1,96
11860964,1,96
11860964,2,96
11860964,3,96
11860965,1,96
11860965,2,96
11860966,1,96
11860966,2,96
11860967,1,99
11860967,2,96
11860968,1,8
11860968,2,96
11860971,1,96
11860971,2,8
11860972,1,99
11860972,2,96
11860973,1,8
11860973,2,2
11860973,2,5
11860974,1,96
11860974,2,96
11860975,1,96
11860975,2,96
11860976,1,96
11860976,2,96
11860978,1,99
11860979,1,8
11860980,1,96
11860980,2,96
11860981,1,96
11860981,2,96
11860982,1,98
11860982,2,96
11860983,1,96
11860985,2,99
11860988,2,96
11860989,1,96
11860990,1,96
11860991,1,99
11860991,2,96
11860991,3,96
11860996,1,96
11861000,1,96
11861000,2,96
11861000,3,96
11861000,4,99
11861002,1,96
11861002,2,96
11861004,1,96
11861006,1,96
11861008,1,96
11861008,2,96
11861010,1,99
11861013,1,96
11861016,1,96
11861016,2,8
11861018,1,96
11861018,2,96
11861022,1,96
11861022,2,2
11861101,1,96
11861101,2,96
11861102,1,8
11861102,2,3
11861105,1,96
11861105,2,96
11863375,1,99
11863375,2,99
11863377,1,99
11863377,3,96
11863378,1,2
11863378,2,96
11863380,1,96
11863380,2,96
11863380,3,6
11865975,1,96
11865975,2,96
11865976,1,96
11865976,2,96
11865977,1,96
11865977,2,96
11865978,1,96
11865978,2,96
11865979,1,96
11865979,2,96
11865979,3,96
11865982,1,96
11865982,2,96
11865983,1,8
11865984,1,99
11865987,1,8
11865988,1,96
11865988,2,96
11865989,1,96
11865989,2,96
11865991,1,96
11865991,2,8
11865993,3,96
11865997,1,96
11865997,2,96
11865999,1,99
11865999,2,99
11866000,1,96
11866002,1,96
11866002,2,96
11866025,1,96
11866025,2,96
11866026,2,2
11866026,2,3
11866026,2,6
11866027,1,96
11866027,2,98
11866027,3,96
11866028,1,96
11866028,2,96
11866030,1,96
11866030,2,96
11866031,1,96
11866031,2,96
11866033,1,96
11866033,2,96
11866037,2,96
11866039,1,96
11866039,2,96
11866041,1,96
11866041,2,96
11866045,1,96
11866045,2,96
11866047,1,96
11866047,2,96
11866049,1,99
11866051,1,96
11866051,2,96
11866055,1,96
11866055,2,96
11866057,1,96
11866059,1,8
11866059,2,8
11866059,3,8
11866063,1,96
11866068,1,8
11866068,2,96
11866072,1,8
11866072,2,8
11866076,1,99
11866076,2,96
11866078,1,8
11866078,2,96
11866080,2,8
11866086,1,96
11866086,2,96
11866090,1,96
11866090,2,96
11866090,3,96
11866090,4,96
11866092,1,8
11866095,1,96
11866096,1,96
11866096,2,96
11866099,1,99
11866100,1,96
11866100,2,96
11866101,1,96
11866102,1,99
11866102,2,96
11866102,3,96
11866103,1,96
11866103,2,96
11866104,1,96
11866106,1,8
11866106,2,96
11866106,3,96
11866107,1,96
11866107,2,8
11866108,2,96
11866109,2,8
11866114,1,96
11866114,2,96
11866116,1,96
11866116,2,96
11866118,1,96
11866118,2,96
11866122,1,99
11866122,2,99
11866124,1,8
11866124,2,2
11866126,1,96
11866126,2,96
11866128,1,96
11866128,2,96
11866130,1,96
11866134,1,96
11866140,1,96
11866143,1,96
11866143,2,96
11866147,1,96
11866147,2,96
11866149,1,96
11866149,2,96
11866151,1,96
11866151,2,96
11866189,1,98
11866189,2,96
11866193,1,96
11866193,2,96
11866195,1,96
11866195,2,96
11866197,1,96
11866197,2,96
11866199,1,99
11866199,2,96
11866201,1,96
11866201,2,96
11866202,1,96
11866202,2,96
11866203,1,96
11866203,2,96
11866204,1,96
11866204,3,2
11866205,1,99
11866206,1,99
11866206,2,96
11866207,1,96
11866207,2,96
11866208,1,3
11866208,1,6
11866208,2,96
11866209,1,96
11866209,2,96
11866211,1,96
11866212,1,96
11866212,2,96
11866214,1,96
11866214,2,96
11866215,1,96
11866215,2,96
11866216,1,96
11866216,2,96
11866217,1,8
11866218,1,96
11866218,2,96
11866219,1,96
11866220,1,96
11866221,1,8
11866223,1,96
11866223,2,96
11866225,1,8
11866225,2,96
11866228,1,96
11866228,2,96
11866232,1,96
11866232,2,96
11866234,1,96
11866234,2,96
11866236,1,96
11866238,2,96
11866240,1,99
11866258,1,96
11866258,2,8
11866260,1,96
11866262,1,96
11866262,2,96
11866265,1,96
11866265,2,8
11866267,1,99
11866269,1,99
11866269,2,96
11866273,1,96
11866277,1,96
11866277,2,96
11866279,1,96
11866279,2,96
11866279,3,96
11866281,1,99
11866282,1,96
11866282,2,96
11866286,1,96
11866286,2,99
11866288,1,96
11866290,1,96
11866290,2,96
11866292,1,99
11866302,1,96
11866302,2,96
11866302,3,96
11866303,1,99
11866303,2,96
11866305,1,96
11866307,1,96
11866307,2,8
11866307,3,96
11866309,2,96
11866312,1,96
11868569,1,96
11869412,1,96
11878323,1,96
11878323,2,96
11882618,1,96
11882618,2,96
11882620,1,2
11882620,2,99
11882622,1,99
11882622,2,96
11882626,1,3
11882628,1,96
11882628,2,99
11882632,1,96
11882632,2,98
11882634,1,2
11882634,1,5
11882634,2,96
11882902,1,96
11882902,2,2
11882902,2,3
11882902,2,6
11883403,1,96
11883403,2,96
11883403,3,96
11883407,1,96
11883407,2,96
11883411,1,96
11883411,2,96
11883415,1,99
11883415,2,96
11883417,1,8
11883419,1,96
11883419,2,96
11883420,1,99
11883424,1,8
11883428,1,96
11883428,2,96
11883428,3,96
11883430,1,96
11883430,2,96
11883431,1,99
11883431,2,6
11883433,1,96
11883433,2,96
11883435,4,96
11883435,5,96
11883437,1,8
11883437,2,96
11883437,3,96
11883439,1,8
11883439,2,96
11883441,1,96
11883444,1,96
11883446,1,96
11883448,1,96
11883448,2,96
11883449,1,96
11883449,2,96
11883451,1,99
11883451,2,8
11883453,1,96
11883453,2,96
11883455,2,96
11883458,1,96
11883458,2,96
11883460,1,96
11883460,2,96
11883462,1,96
11883462,2,96
11883545,1,96
11883545,2,96
11883547,1,96
11883547,2,96
11883553,1,8
11883553,2,96
11883556,1,96
11883556,2,96
11883558,1,96
11883558,2,96
11883562,1,96
11883564,1,96
11883564,2,96
11883568,1,96
11883570,1,96
11883570,2,96
11883572,1,8
11883579,1,96
11883580,1,96
11883580,2,96
11883581,1,8
11883581,2,96
11883583,1,96
11883584,1,96
11883584,2,8
11883585,1,8
11883588,1,96
11883588,2,96
11883589,1,96
11883589,2,96
11883590,1,96
11883590,2,96
11883592,1,99
11883595,1,96
11883595,2,96
11883596,1,8
11883596,2,99
11883598,1,98
11883599,1,99
11883602,1,96
11883603,1,96
11883603,2,96
11883604,1,96
11883605,1,99
11883605,2,99
11883606,1,96
