Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
15519211,1,98
15519211,2,96
15519294,1,96
15519295,1,99
15519296,1,96
15519298,1,96
15519298,2,96
15519299,1,96
15519300,1,98
15519300,2,96
15519301,1,96
15519301,2,3
15519302,1,96
15519302,2,96
15519343,1,99
15519344,1,8
15519345,1,96
15519345,2,8
15519346,1,96
15519346,2,96
15519346,3,98
15519347,1,96
15519347,2,96
15519347,3,96
15519347,4,96
15519348,1,8
15519349,1,96
15519349,2,96
15519350,1,96
15519350,2,96
15519351,1,96
15519351,2,96
15519352,1,96
15519353,1,99
15519353,2,96
15519354,1,8
15519354,2,96
15519355,1,96
15519355,2,96
15519356,1,99
15519356,2,8
15519356,3,8
15519357,2,8
15519358,1,99
15519359,1,96
15519359,2,99
15519360,1,96
15519360,2,96
15519361,1,99
15519362,1,99
15519363,2,96
15519364,1,96
15519365,1,99
15519365,2,96
15519365,3,96
15519367,1,98
15519367,3,96
15519410,1,96
15519410,2,96
15519411,1,96
15519411,2,96
15519412,1,8
15519413,1,96
15519413,2,96
15519414,1,96
15519415,1,96
15519415,2,96
15519415,3,96
15519415,4,96
15519416,1,96
15519416,2,96
15519417,1,8
15519417,2,96
15519418,1,98
15519418,2,96
15519419,1,96
15519419,2,96
15519419,3,96
15519420,1,96
15519421,1,96
15519421,2,8
15519422,1,96
15519422,2,8
15519423,2,99
15519424,1,96
15519424,2,8
15519425,1,99
15519425,2,96
15519425,3,96
15519426,1,96
15519426,2,96
15519427,1,96
15519427,2,96
15519428,1,99
15519428,2,8
15519429,1,96
15519429,2,96
15519430,1,96
15519430,2,96
15519432,1,8
15519432,2,96
15519437,1,98
15519437,2,96
15519441,1,96
15519441,2,96
15523052,1,8
15523052,2,96
15523054,1,8
15523054,2,8
15523054,3,98
15523055,1,8
15523055,2,99
15523056,1,96
15523057,1,96
15523057,2,96
15523058,1,96
15523058,2,96
15523060,1,96
15523060,2,96
15523061,1,96
15523061,2,96
15523062,1,98
15523062,2,96
15523063,1,96
15523064,1,8
15523064,2,96
15523064,3,96
15523065,1,96
15523065,2,96
15523065,3,98
15523066,1,8
15523066,2,96
15523067,1,8
15523068,1,8
15523068,2,96
15523069,1,96
15523069,2,96
15523070,1,96
15523070,2,96
15523070,3,96
15523071,1,96
15523071,2,96
15523071,3,96
15523072,1,8
15523072,2,96
15523073,1,96
15523073,2,96
15523074,1,96
15523074,2,96
15523075,1,96
15523075,2,96
15523092,1,8
15523092,2,96
15523093,1,96
15523093,2,96
15523094,1,96
15523094,2,96
15523095,1,96
15523096,1,96
15523096,2,96
15523097,1,96
15523097,2,96
15523098,1,8
15523098,2,96
15523099,1,96
15523099,2,96
15523100,1,96
15523100,2,96
15523101,1,96
15523101,2,96
15523102,1,98
15523102,3,96
15523102,4,96
15523103,1,96
15523103,2,96
15523105,1,96
15523105,2,96
15523106,1,96
15523107,1,96
15523108,1,99
15523108,2,99
15523109,1,96
15523109,2,96
15523110,1,96
15523110,2,96
15523111,1,96
15523111,2,8
15523112,1,96
15523112,2,96
15523113,1,96
15523113,2,96
15523114,1,96
15523114,2,96
15523115,1,96
15523116,1,96
15523116,2,8
15523148,1,96
15523148,2,96
15523149,1,96
15523149,2,96
15523150,1,96
15523150,2,8
15523151,1,96
15523151,2,96
15523152,1,96
15523152,2,96
15523152,3,96
15523153,1,96
15523153,2,96
15523154,1,96
15523154,2,96
15523155,1,8
15523155,2,2
15523155,3,96
15523156,1,96
15523156,2,96
15523157,1,99
15523159,1,96
15524499,1,8
15524500,1,96
15524501,1,96
15524501,2,98
15524501,3,96
15524502,1,96
15524502,2,96
15524502,3,96
15524502,4,96
15524503,1,99
15524504,1,96
15524505,1,96
15524505,2,96
15524506,1,96
15524506,2,98
15524507,1,98
15524507,3,96
15524507,4,96
15524527,1,98
15524527,3,96
15524528,1,8
15524529,1,96
15524529,2,96
15524530,1,96
15524530,2,96
15524531,1,96
15524532,1,96
15524532,2,8
15524533,1,96
15524534,1,96
15524534,2,8
15524535,1,98
15524535,2,96
15524536,1,98
15524537,1,96
15524538,1,8
15524539,1,96
15524539,2,96
15524540,1,96
15524541,1,96
15524541,2,96
15524542,1,96
15524542,2,96
15524543,1,96
15524543,2,8
15524544,1,96
15524544,2,98
15524545,1,96
15524545,2,96
15524546,1,96
15524546,2,96
15524547,1,96
15524547,2,96
15524548,1,96
15524548,2,96
15524548,3,96
15524549,1,8
15524549,2,96
15524550,1,96
15524550,2,96
15524551,1,96
15524551,2,8
15524585,1,96
15524585,2,96
15524586,1,8
15524586,2,96
15524587,1,96
15524587,2,96
15524588,1,8
15524589,1,96
15524589,2,96
15524590,1,96
15524590,2,96
15524591,1,96
15524592,1,8
15524592,2,96
15524593,1,96
15524593,2,96
15526836,1,96
15528047,1,8
15528212,1,99
15528213,1,96
15528213,2,96
15528214,1,96
15528215,1,96
15528215,2,96
15528216,1,96
15528216,2,96
15528217,1,99
15528217,2,99
15528218,1,96
15528218,2,8
15528219,1,8
15528219,2,96
15528220,1,3
15528220,2,96
15528221,1,96
15528221,2,8
15528225,1,96
15528225,2,96
15528228,1,96
15528231,1,96
15528231,2,96
15528232,1,3
15528232,1,6
15528232,2,96
15528233,1,96
15528233,2,96
15528234,1,8
15528234,2,8
15528252,1,96
15528252,2,96
15528253,1,8
15528253,2,96
15528254,1,96
15528254,2,99
15528255,1,96
15528255,2,96
15528256,1,96
15528256,2,96
15528257,1,8
15528257,2,96
15528258,1,96
15528259,1,96
15528259,2,99
15528267,1,99
15528267,2,8
15528268,1,96
15528269,1,8
15528269,2,96
15528270,1,99
15528270,2,96
15528271,1,99
15528272,1,99
15528272,2,8
15528273,1,8
15528274,1,96
15528274,2,96
15528275,1,96
15528275,2,8
15528276,1,8
15528277,1,96
15528277,2,96
15528278,1,96
15528278,2,96
15528279,1,96
15528279,2,96
15528279,3,96
15528279,4,96
15528280,1,96
15528281,1,99
15528281,2,99
15528282,1,2
15528282,2,96
15528283,1,8
15528283,2,96
15528331,1,8
15528331,2,8
15528332,1,96
15528333,1,96
15528334,1,8
15528334,2,96
15528334,3,96
15528334,4,96
15528335,1,96
15528336,1,99
15528336,2,96
15528339,1,96
15528341,1,98
15528341,2,96
15528342,1,96
15528343,1,96
15528343,2,96
15528344,1,96
15528344,2,8
15528345,1,96
15528345,2,96
15528346,1,96
15528347,1,99
15528348,1,99
15528349,1,8
15528349,2,96
15528349,3,96
15528350,1,8
15528351,1,99
15528351,2,8
15528352,1,96
15528353,1,96
15528353,2,96
15528354,1,99
15528354,2,96
15528355,1,96
15528355,2,96
15528356,1,96
15528356,2,8
15528357,1,96
15528357,2,96
15528358,1,96
15528390,1,96
15528390,2,96
15528391,1,96
15528391,2,96
15528392,1,96
15528392,2,96
15528392,3,8
15528393,1,8
15528393,2,99
15528393,3,99
15528393,5,99
15528394,1,98
15528394,2,96
15528394,3,96
15528395,1,99
15528395,2,96
15528396,1,96
15528396,2,96
15528396,3,96
15528397,1,96
15528397,2,96
15528398,1,8
15528398,2,96
15528400,1,96
15528400,2,96
15528400,3,96
15528400,4,96
15528400,5,96
15528400,6,96
15528401,1,96
15528402,1,96
15528402,2,96
15528402,3,8
15528404,1,96
15528405,1,96
15528406,1,96
15528406,2,96
15528406,3,96
15528407,1,96
15528407,2,96
15528408,1,96
15528408,2,8
15528849,1,96
15528849,2,96
15531225,1,96
15531226,1,96
15531227,1,8
15531227,2,98
15531227,3,96
15531228,1,96
15531229,1,8
15531229,2,96
15531229,3,96
15531229,4,96
15531230,1,96
15531230,2,96
15531231,1,96
15531231,2,96
15531232,1,96
15531233,1,8
15531234,1,99
15531234,2,8
15531235,1,96
15531235,2,8
15531236,1,96
15531236,2,96
15531236,3,96
15531237,1,96
15531237,2,96
15531238,1,96
15531238,2,96
15531239,1,96
15531240,1,96
15531240,2,96
15531241,1,96
15531241,2,96
15531244,1,96
15531244,2,96
15531245,1,96
15531245,2,8
15531246,1,96
15531246,2,96
15531247,1,96
15531247,2,96
15531248,1,96
15531248,2,96
15531249,1,96
15531249,2,96
15531250,1,96
15531250,2,96
15531251,1,96
15531251,2,96
15531252,1,8
15531252,2,96
15531253,1,96
15531256,1,96
15531256,2,96
15531257,1,96
15531257,2,96
15531257,3,96
15531258,1,96
15531258,2,96
15531259,1,99
15531260,1,96
15531261,1,8
15531261,2,8
15531262,1,96
15531262,2,96
15531263,1,96
15531263,2,3
15531264,1,96
15531264,2,96
15531265,1,96
15531265,2,96
15531266,1,6
15531266,3,96
15531267,1,96
15531267,2,99
15531268,1,96
15531268,2,96
15531268,3,96
15531269,1,96
15531269,2,96
15532062,1,99
15532062,2,8
15532567,1,96
15532567,2,96
15532567,3,96
15532567,4,96
15532568,1,96
15532569,1,96
15532570,1,96
15532570,2,96
15532571,1,8
15532571,2,96
15532572,1,99
15532573,1,96
15532573,2,96
15532574,1,99
15532574,2,98
15532575,1,96
15532575,2,96
15532576,1,8
15532576,2,8
15532576,3,8
15532577,1,96
15532577,2,96
15532578,1,96
15532578,2,96
15532579,1,98
15532579,2,96
15532579,3,8
15532580,1,96
15532580,2,96
15532581,1,96
15532582,1,96
15532583,1,99
15532583,2,96
15532584,1,96
15532584,2,96
15532584,3,96
15532585,1,96
15532585,2,96
15532633,1,8
15532634,1,8
15532635,1,96
15532635,3,96
15532636,1,96
15532636,2,8
15532637,1,96
15532638,1,4
15532638,1,6
15532638,2,96
15532639,1,96
15532639,2,96
15532640,1,96
15532641,1,96
15532641,2,96
15532642,1,99
15532643,1,8
15532644,1,8
15532645,1,96
15532645,2,96
15532649,1,98
15532649,2,96
15532649,3,96
15532650,1,96
15532650,2,96
15532650,3,96
15532651,1,96
15532651,2,96
