Crash_ID,Damaged_Property
15519294,CROSSWALK SIGN
15519296,ELECTRIC POLE
15519303,FIRE HYDRANT
15519304,DAMAGE TO FENSE
15519343,WOODEN FENCE
15519354,TRAFFIC CONTROL SIGN IN MEDIAN DAMAGED
15519356,FIRE HYDRANT
15519412,GRASS
15519412,ASPHALT
15519441,TREE
15523067,METAL BUILDING
15524504,BRICK WALL
15524528,40FT CHAIN LINK FENCE W 3 POLES
15524528,SILVER FIRE HYDRANT
15524533,15 FT OF GUARDRAIL
15524534,FENCE
15524588,WATER BARRIER
15526836,BROKEN CITY OF CEDAR PARK STREET SIGN
15528228,50 FT SECTION OF GUARDRAIL WITH 6 POSTS
15528257,CENTER MEDIAN BETWEEN NB & SB
15528259,RAIL BARRIER ON RAMP
15528342,PIPE IN PARKING GARAGE
15528346,BRICK FLOWER BED
15528348,RESIDENTIAL FENCE
15528399,1' TALL BRICK WALL
15528401,GARAGE OF RESIDENCE 8015 RAINTREE PL
15528404,MAIL BOX
15528849,WOODEN FENCE
15531233,HANDRAIL ON BRIDGE
15531259,DAMAGE TO CHAIN-LINK FENCE
15531259,DAMAGE TO METAL FENCE
15531268,LAWN DAMAGE AT 921 BENNET
15532568,METAL GUARDRAIL
15532569,10FT GUARDRAIL; STREET SIGN; STOP SIGN;
15532582,IRON FENCE
15532641,6 FEET OF WATER BARRELS DAMAGED
15532642,UTILITY POLE
15532643,DAMAGED CARPORT OF 7812 LAZY LANE
15532643,FENCE ON NORTH SIDE OF 7813 LAZY LANE
15532644,TELEPHONE POLE
15532712,CEMENT PARKING  CURB
15532742,POST OFFICE COLLECTION MAIL BOX
15534454,LIGHT POLE
15534475,CADDILAC WENT THROUGH FRONT FENCE
15536284,LIGHT POLE
15536503,GUARDRAIL
15536527,STOP SIGN AT NE CORNER OF INTERSECTION
15540830,ON RAMP CONCRETE CURBLINE CRACKED
15540837,ULITITY POLE
15540860,FIRE HYDRANT
15541014,CURB
15541149,"GUARD RAIL DAMAGE, 20 FEET"
15541150,APPROX 20 FT GUARDRAIL
15541161,LIGHT POLE (NO NUMBER)
15541162,UTILITY POLE
15541254,SHELL GAS PUMP # 6
15541261,POWER POLE
15541263,NONE
15541290,IRON FENCE
15541304,WATER BARRIER
15541306,GUARD RAIL 60 FEET
15543447,"""YIELD TO BIKES"" SIGN"
15543582,PHONE CABLE TUBE
