Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
15519211,1,98
15519211,2,19
15519294,1,19
15519295,1,99
15519296,1,19
15519298,1,19
15519298,2,19
15519299,1,19
15519300,1,98
15519300,2,19
15519301,1,19
15519301,2,49
15519302,1,1
15519302,2,1
15519343,1,99
15519344,1,20
15519345,1,19
15519345,2,20
15519346,1,19
15519346,2,19
15519346,3,98
15519347,1,19
15519347,2,19
15519347,3,19
15519347,4,19
15519348,1,20
15519349,1,19
15519349,2,19
15519350,1,19
15519350,2,19
15519351,1,19
15519351,2,19
15519352,1,19
15519353,1,99
15519353,2,19
15519354,1,20
15519354,2,19
15519355,1,1
15519355,2,19
15519356,1,99
15519356,2,20
15519356,3,20
15519357,2,20
15519358,1,99
15519359,1,19
15519359,2,99
15519360,1,1
15519360,2,1
15519361,1,99
15519362,1,99
15519363,2,19
15519364,1,1
15519365,1,99
15519365,2,1
15519365,3,19
15519367,1,98
15519367,3,1
15519410,1,1
15519410,2,19
15519411,1,19
15519411,2,19
15519412,1,20
15519413,1,1
15519413,2,19
15519414,1,1
15519415,1,19
15519415,2,19
15519415,3,19
15519415,4,19
15519416,1,1
15519416,2,1
15519417,1,20
15519417,2,19
15519418,1,98
15519418,2,19
15519419,1,1
15519419,2,19
15519419,3,19
15519420,1,19
15519421,1,19
15519421,2,20
15519422,1,19
15519422,2,20
15519423,2,99
15519424,1,19
15519424,2,20
15519425,1,99
15519425,2,19
15519425,3,19
15519426,1,1
15519426,2,1
15519427,1,1
15519427,2,19
15519428,1,99
15519428,2,20
15519429,1,19
15519429,2,19
15519430,1,1
15519430,2,1
15519432,1,20
15519432,2,19
15519437,1,98
15519437,2,19
15519441,1,1
15519441,2,19
15523052,1,20
15523052,2,19
15523054,1,20
15523054,2,20
15523054,3,98
15523055,1,20
15523055,2,99
15523056,1,19
15523057,1,19
15523057,2,19
15523058,1,19
15523058,2,19
15523060,1,1
15523060,2,1
15523061,1,1
15523061,2,19
15523062,1,98
15523062,2,19
15523063,1,1
15523064,1,20
15523064,2,19
15523064,3,19
15523065,1,19
15523065,2,1
15523065,3,98
15523066,1,20
15523066,2,19
15523067,1,20
15523068,1,20
15523068,2,1
15523069,1,19
15523069,2,1
15523070,1,19
15523070,2,1
15523070,3,1
15523071,1,19
15523071,2,1
15523071,3,19
15523072,1,20
15523072,2,49
15523073,1,1
15523073,2,19
15523074,1,19
15523074,2,1
15523075,1,19
15523075,2,19
15523092,1,20
15523092,2,1
15523093,1,1
15523093,2,1
15523094,1,1
15523094,2,1
15523095,1,1
15523096,1,19
15523096,2,19
15523097,1,19
15523097,2,19
15523098,1,20
15523098,2,19
15523099,1,19
15523099,2,19
15523100,1,19
15523100,2,19
