Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt
15519211,2,2,2,3,5,32,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
15519298,1,2,2,6,5,19,1,1,1,1,2,97,Y,,,,,,,0,0,0,1,0,0,0
15519298,1,3,2,5,5,19,1,2,1,3,2,97,N,,,,,,,0,0,0,1,0,0,0
15519298,1,4,2,4,5,19,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
15519298,1,5,2,3,5,18,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
15519298,1,6,2,6,5,18,1,2,1,8,2,97,N,,,,,,,0,0,0,1,0,0,0
15519298,1,7,2,4,5,19,1,2,1,8,2,97,N,,,,,,,0,0,0,1,0,0,0
15519300,1,2,2,3,5,27,2,2,1,1,2,97,Y,,,,,,,0,0,0,1,0,0,0
15519300,2,2,2,4,5,33,1,1,1,1,2,97,Y,,,,,,,0,0,0,1,0,0,0
15519300,2,3,2,6,5,46,1,1,1,1,2,97,Y,,,,,,,0,0,0,1,0,0,0
15519301,2,2,2,3,5,15,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
15519301,2,3,2,6,5,14,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
15519302,2,2,2,3,5,28,2,2,1,1,0,97,N,,,,,,,0,0,0,1,0,0,0
15519343,1,2,2,3,5,23,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
15519344,1,2,2,3,2,21,3,1,1,1,3,97,N,,,,,,,0,1,0,0,0,1,0
15519345,1,2,2,3,2,23,2,2,1,1,8,97,N,,,,,,,0,1,0,0,0,1,0
15519345,2,2,2,3,5,23,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
15519347,1,2,2,3,3,19,1,2,1,1,8,97,N,,,,,,,0,0,1,0,0,1,0
15519347,2,2,2,3,3,17,1,1,1,1,3,97,N,,,,,,,0,0,1,0,0,1,0
15519350,2,2,2,5,5,7,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
15519351,1,2,2,3,5,21,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
15519353,2,2,2,5,5,4,2,1,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
15519354,1,2,2,3,3,13,2,1,1,1,3,97,N,,,,,,,0,0,1,0,0,1,0
15519354,1,3,2,6,3,39,2,2,1,8,1,97,N,,,,,,,0,0,1,0,0,1,0
15519354,1,4,2,5,3,8,2,1,1,1,1,97,N,,,,,,,0,0,1,0,0,1,0
15519354,2,2,2,3,3,32,1,1,1,1,3,97,Y,,,,,,,0,0,1,0,0,1,0
15519356,2,2,2,3,5,40,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
15519359,1,2,2,3,5,27,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
