Crash_ID,Unit_Nbr,Unit_Desc_ID,Veh_Parked_Fl,Veh_HNR_Fl,Veh_Lic_State_ID,VIN,Veh_Mod_Year,Veh_Color_ID,Veh_Make_ID,Veh_Mod_ID,Veh_Body_Styl_ID,Emer_Respndr_Fl,Ownr_Zip,Fin_Resp_Proof_ID,Fin_Resp_Type_ID,Veh_Dmag_Area_1_ID,Veh_Dmag_Scl_1_ID,Force_Dir_1_ID,Veh_Dmag_Area_2_ID,Veh_Dmag_Scl_2_ID,Force_Dir_2_ID,Veh_Inventoried_Fl,Veh_Transp_Name,Veh_Transp_Dest,Veh_Cmv_Fl,Cmv_Fiveton_Fl,Cmv_Hazmat_Fl,Cmv_Nine_Plus_Pass_Fl,Cmv_Veh_Oper_ID,Cmv_Carrier_ID_Type_ID,Cmv_Carrier_Zip,Cmv_Veh_Type_ID,Cmv_GVWR,Cmv_RGVW,Cmv_Hazmat_Rel_Fl,Hazmat_Cls_1_ID,Hazmat_IDNbr_1_ID,Hazmat_Cls_2_ID,Hazmat_IDNbr_2_ID,Cmv_Cargo_Body_ID,Cmv_Evnt1_ID,Cmv_Evnt2_ID,Cmv_Evnt3_ID,Cmv_Evnt4_ID,Cmv_Tot_Axle,Cmv_Tot_Tire,Contrib_Factr_1_ID,Contrib_Factr_2_ID,Contrib_Factr_3_ID,Contrib_Factr_P1_ID,Contrib_Factr_P2_ID,Veh_Dfct_1_ID,Veh_Dfct_2_ID,Veh_Dfct_3_ID,Veh_Dfct_P1_ID,Veh_Dfct_P2_ID,Veh_Trvl_Dir_ID,First_Harm_Evt_Inv_ID,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,Cmv_Disabling_Damage_Fl,Cmv_Bus_Type_ID,Trlr_GVWR,Trlr_RGVW,Trlr_Type_ID,Trlr_Disabling_Dmag_ID,Cmv_Intermodal_Container_Permit_Fl,CMV_Actual_Gross_Weight
17059206,1,1,N,N,43,1GAZGNFG4H1101805,2017,21,107,731,103,N,77081,2,,15,1,9,,,,N,ATX-VIP TOWING SERVICES,ATX-VIP TOWING SERVICES,N,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,6,1,0,0,1,0,0,1,0,,,,,,,,
17059207,1,1,N,N,43,1D4HD48KX6F110275,2006,3,109,635,69,N,78617,1,2,4,4,2,3,2,12,N,A-TEX TOWING,5526 1/2 W HWY 290,N,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,3,1,0,0,0,1,0,0,0,,,,,,,,
17059207,2,1,N,N,43,4T1B11HK8KU168624,2019,17,91,380,104,N,90638,1,2,9,1,9,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,3,2,0,0,0,2,0,0,0,,,,,,,,
17059208,1,1,N,N,43,4T1BF1FK0GU231730,2016,21,91,380,104,N,78253,1,2,2,2,12,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,5,1,0,0,0,1,0,0,0,,,,,,,,
17059208,2,1,N,N,43,2HKRM3H50EH503681,2014,2,44,605,104,N,78726,1,2,6,1,6,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,1,0,0,0,2,0,0,0,,,,,,,,
17059209,1,1,N,N,43,4T1BF1FKXHU389560,2017,21,91,380,104,N,78216,1,7,1,4,12,,,,N,SPECIAL AUTOMOTIVE SERVICE INC,SPECIAL AUTOMOTIVE SERVICE INC,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,3,1,0,0,0,2,0,0,0,,,,,,,,
17059209,2,1,N,N,43,1FMCU9J97JUC48044,2018,8,37,711,69,N,78742,1,2,6,4,6,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,3,1,0,0,0,1,0,0,0,,,,,,,,
17059210,1,1,N,N,43,2G1WG5E31D1237203,2013,2,107,53,104,N,78744,1,2,2,2,12,,,,N,A-TEX TOWING,5526 1/2 W HWY 290,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,7,1,0,0,3,0,0,3,0,,,,,,,,
17059210,2,1,N,N,43,5NPET46C58H390601,2008,1,45,462,104,N,78744,2,,15,4,10,2,2,12,N,SPECIAL AUTOMOTIVE SERVICE INC,SPECIAL AUTOMOTIVE SERVICE INC,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,1,0,0,1,0,0,1,0,,,,,,,,
17059210,3,1,N,N,43,KMHD84LFXJU638117,2018,17,45,480,104,N,78745,1,2,3,1,11,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,2,0,0,0,1,0,0,0,,,,,,,,
