Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt
16826430,2,2,2,3,2,27,2,1,1,1,2,97,N,,,,,,,0,1,0,0,0,1,0
16826430,2,3,2,4,5,17,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16826430,2,4,2,5,5,17,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16831726,1,2,2,3,5,23,2,1,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
16831726,2,2,2,3,5,33,1,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
16831726,3,2,2,3,5,31,4,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16831727,3,2,2,3,5,24,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16831727,3,3,2,4,5,34,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16831727,3,4,2,6,5,25,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16831730,1,2,2,3,5,17,4,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16831732,2,2,2,3,5,19,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16831735,4,2,2,3,5,30,1,2,4,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16831736,2,2,2,3,5,72,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16831785,1,2,2,3,3,59,1,1,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
16831791,2,2,2,3,5,14,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16831791,2,3,2,6,5,24,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
16831803,1,2,2,3,5,65,4,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
16831804,1,2,2,3,3,46,2,2,1,1,2,97,Y,,,,,,,0,0,1,0,0,1,0
16831856,1,2,2,3,2,13,,1,1,1,8,97,N,,,,,,,0,1,0,0,0,1,0
