Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
16826430,1,99
16826430,2,8
16826430,3,96
16826641,1,96
16826889,1,8
16827158,1,96
16827158,2,96
16827741,1,96
16827742,1,96
16828208,1,96
16831725,1,96
16831726,1,96
16831726,2,96
16831726,3,96
16831727,1,96
16831727,2,8
16831727,3,96
16831727,4,99
16831728,1,99
16831729,1,8
16831730,1,96
16831731,1,96
16831732,1,99
16831732,2,96
16831733,1,98
16831735,1,96
16831735,2,8
16831735,3,96
16831735,4,96
16831736,1,96
16831736,2,96
16831737,1,2
16831745,1,8
16831786,1,96
16831786,2,96
16831791,1,96
16831791,2,98
16831796,1,96
16831796,2,96
16831796,3,8
16831799,1,96
16831800,1,96
16831800,2,96
16831801,1,8
16831802,1,96
16831803,1,98
16831804,1,2
16831805,1,8
16831805,2,96
16831806,1,8
16831807,1,96
16831808,1,96
16831808,2,96
16831809,1,96
16831811,1,96
16831812,1,8
16831813,1,96
16831814,1,96
16831816,1,96
16831817,1,96
16831856,1,96
16831856,2,2
16831856,3,96
16831856,4,96
16831858,1,99
16831858,2,96
16831858,3,96
16831860,1,96
16831860,2,96
16831860,3,2
16831861,1,98
16831861,2,96
16831861,3,96
16831862,1,96
16831864,1,96
16831864,2,8
16831865,1,8
16831865,2,96
16831866,1,96
16831866,2,96
16831867,1,96
16831868,1,8
16831869,1,8
16831870,1,96
16831870,2,99
16831872,1,8
16831872,2,98
16831878,1,98
16831878,2,96
16831885,1,96
16831888,1,96
16831890,1,8
16831891,1,96
16831891,2,8
16831892,1,96
16831893,1,96
16831893,2,96
16831893,3,96
16831894,1,96
16831895,1,96
16831896,1,96
16831896,2,96
16831897,1,96
16831897,2,96
16831926,1,8
16831926,2,96
16831927,1,96
16831927,2,96
16831928,1,96
16831928,2,96
16831928,3,96
16831928,4,96
16831929,1,96
16831929,2,96
16831930,1,8
16831931,1,96
16831932,1,96
16831932,2,96
16831933,1,96
16831933,2,99
16831934,1,96
16831935,1,96
16831935,2,96
16831936,1,96
16831936,2,96
16831937,1,96
16831937,3,96
16831937,4,96
16831938,1,96
16831938,2,96
16831939,1,96
16831939,2,96
16831940,1,96
16831940,2,96
16831941,1,96
16831941,2,96
16831942,1,96
16831942,2,98
16831943,1,96
16831943,2,96
16831944,1,96
16831944,2,96
16831945,1,99
16831945,2,96
16831945,3,96
16831945,4,96
16831946,1,99
16831947,1,98
16831948,1,96
16831949,1,8
16831953,1,98
16831980,1,96
16831981,1,8
16831981,2,96
16831982,1,96
16831982,2,96
16831982,3,8
16831983,1,2
16831983,2,96
16832779,1,96
16832779,2,96
16833413,1,8
16833413,2,96
16835326,1,99
16835326,2,96
16835327,1,96
16835327,2,96
16835328,1,96
16835329,1,96
16835330,1,96
16835331,1,96
16835331,2,96
16835332,1,96
16835332,2,96
16835333,1,8
16835334,1,96
16835334,2,96
