Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
16826430,1,99
16826430,2,20
16826430,3,19
16826641,1,1
16826889,1,20
16827158,1,1
16827158,2,1
16827741,1,19
16827742,1,19
16828208,1,19
16831725,1,19
16831726,1,1
16831726,2,19
16831726,3,19
16831727,1,19
16831727,2,20
16831727,3,19
16831727,4,99
16831728,1,99
16831729,1,20
16831730,1,19
16831731,1,19
16831732,1,99
16831732,2,19
16831733,1,98
16831735,1,1
16831735,2,20
16831735,3,23
16831735,4,1
16831736,1,19
16831736,2,19
16831737,1,1
16831745,1,20
16831786,1,19
16831786,2,19
16831791,1,19
16831791,2,98
16831796,1,19
16831796,2,19
16831796,3,20
16831799,1,19
16831800,1,1
16831800,2,19
16831801,1,20
16831802,1,1
16831803,1,98
16831804,1,19
16831805,1,20
16831805,2,19
16831806,1,20
16831807,1,19
16831808,1,1
16831808,2,1
16831809,1,19
16831811,1,19
16831812,1,20
16831813,1,19
16831814,1,1
16831816,1,1
16831817,1,19
16831856,1,1
16831856,2,1
16831856,3,19
16831856,4,1
16831858,1,99
16831858,2,1
16831858,3,1
16831860,1,1
16831860,2,19
16831860,3,19
16831861,1,98
16831861,2,1
16831861,3,1
16831862,1,1
16831864,1,19
16831864,2,20
16831865,1,20
16831865,2,1
16831866,1,19
16831866,2,1
16831867,1,1
16831868,1,20
16831869,1,20
16831870,1,19
16831870,2,99
16831872,1,20
16831872,2,98
16831878,1,98
16831878,2,19
16831885,1,98
16831888,1,14
16831890,1,20
16831891,1,19
16831891,2,20
16831892,1,19
16831893,1,1
16831893,2,1
16831893,3,1
16831894,1,19
16831895,1,19
16831896,1,19
16831896,2,19
16831897,1,19
16831897,2,19
16831926,1,20
16831926,2,19
16831927,1,19
16831927,2,19
16831928,1,1
16831928,2,19
16831928,3,1
16831928,4,1
16831929,1,19
16831929,2,19
16831930,1,20
16831931,1,1
16831932,1,1
16831932,2,19
16831933,1,19
16831933,2,99
16831934,1,19
16831935,1,19
16831935,2,19
16831936,1,19
16831936,2,1
16831937,1,19
16831937,3,19
16831937,4,19
16831938,1,19
16831938,2,19
16831939,1,19
16831939,2,1
16831940,1,19
16831940,2,1
16831941,1,1
16831941,2,1
16831942,1,19
16831942,2,98
16831943,1,19
16831943,2,19
16831944,1,1
16831944,2,1
16831945,1,99
16831945,2,1
16831945,3,99
16831945,4,19
16831946,1,99
16831947,1,98
16831948,1,19
16831949,1,20
16831953,1,98
16831980,1,19
16831981,1,20
16831981,2,19
16831982,1,19
16831982,2,19
16831982,3,20
16831983,1,1
16831983,1,66
16831983,2,19
16832779,1,19
16832779,2,19
16833413,1,20
16833413,2,1
16835326,1,99
16835326,2,19
16835327,1,1
16835327,2,19
16835328,1,19
16835329,1,19
16835330,1,19
16835331,1,1
16835331,2,1
16835332,1,1
16835332,2,1
16835333,1,20
16835334,1,19
16835334,2,19
16835334,3,19
16835335,1,19
16835335,2,98
16835335,3,19
16835336,1,99
16835345,1,99
16835345,2,19
16835345,3,19
16835345,4,19
16835347,1,20
16835348,1,19
16835348,2,19
16835393,1,1
16835394,1,19
16835394,2,1
16835395,1,99
16835395,2,1
16835395,3,19
16835396,1,20
16835396,2,98
16835398,1,19
16835399,1,99
16835399,2,99
16835400,1,19
16835400,2,99
16835402,1,20
16835402,2,19
16835403,1,98
16835403,2,19
16835404,1,20
16835404,2,19
16835432,1,20
16835432,2,19
16835433,1,19
16835433,2,1
16835434,1,20
16835434,2,1
16835434,3,1
16835435,1,99
16835435,2,20
16835436,1,20
16835436,2,99
16835437,1,19
16835438,1,1
16835439,1,19
16835439,2,19
16835440,1,98
16835440,2,98
16835442,1,19
16835442,2,98
16835442,3,98
16835442,4,20
16835443,1,19
16835443,2,1
16835444,1,19
16835444,2,19
16835445,1,23
16835445,2,19
16835447,1,99
16835449,1,20
16835450,1,63
16835451,1,1
16835452,1,19
16835452,2,19
16835453,1,19
16835453,2,19
16835454,1,19
16835454,2,1
16835455,1,19
16835455,2,19
16835455,3,1
16835455,4,99
16835456,1,19
16835456,2,19
16835457,1,19
16835457,2,19
16835954,1,19
16835954,2,1
16835955,1,19
16835955,2,19
16835956,2,19
16835957,1,1
16835957,2,1
16835958,1,20
16835958,2,19
16835959,1,1
16835959,2,19
16835960,1,19
16835960,2,1
16835961,1,19
16835961,2,1
16835962,1,19
16835962,2,19
16835963,1,20
16835963,2,1
16835964,1,19
16835964,3,19
16835965,1,99
16835965,2,19
16835965,3,19
16835966,1,99
16835966,2,1
16835967,1,1
16835967,2,19
16835967,3,19
16835968,1,19
16835968,2,20
16835969,1,19
16835969,2,19
16835970,1,19
16835971,1,19
16835971,2,19
16835973,1,99
16835973,2,99
16835974,1,19
16835974,2,19
16835976,1,1
16835995,1,99
16835996,1,19
16835997,1,20
16835998,1,1
16835998,2,19
16835999,1,98
16835999,2,19
16836000,1,19
16836000,3,19
16836000,4,19
16836001,1,99
16836002,1,19
16836002,2,19
16836002,3,98
16836003,1,19
16836003,2,98
16836004,1,19
16836004,2,19
16836005,1,19
