Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
14205930,1,96
14205961,1,96
14205961,2,96
14205962,1,96
14205963,1,96
14205963,2,96
14205964,1,96
14205966,1,99
14206001,1,96
14206001,2,8
14206008,1,96
14206008,2,96
14206010,1,96
14206010,2,96
14206012,1,8
14206013,1,96
14206013,2,96
14206035,1,96
14206035,2,96
14206037,1,96
14206037,2,96
14206038,1,96
14206038,2,96
14206039,1,96
14206039,2,96
14206040,1,96
14206040,2,96
14206052,1,96
14206052,2,96
14206052,3,96
14206053,1,98
14206053,2,3
14206053,4,96
14206054,1,96
14206055,1,99
14206055,2,96
14206056,1,99
14206078,1,96
14206079,1,96
14206079,2,96
14206080,1,96
14206080,2,96
14206085,1,7
14206085,2,96
14206098,1,98
14206099,1,96
14206099,2,96
14206110,1,96
14206110,2,96
14206176,1,99
14206958,1,8
14206958,2,96
14206965,1,98
14206982,1,99
14206982,2,96
14206982,3,96
14206982,4,96
14206983,1,96
14206983,2,96
14207008,1,99
14207008,2,96
14207597,1,96
14207597,2,96
14207797,1,96
14207797,2,96
14207797,3,96
14207798,1,99
14207798,2,99
14207909,1,96
14207909,2,96
14207960,1,96
14207960,2,96
14207961,1,8
14207961,2,96
14207961,3,96
14207962,1,96
14207962,2,96
14207963,1,96
14207963,2,98
14210475,1,96
14210717,1,2
14210717,1,3
14210717,2,96
14211440,1,8
14211440,2,96
14211440,3,99
14211441,1,8
14211493,1,96
14211493,2,8
14211494,1,8
14211494,2,96
14211505,1,8
14211505,2,98
14211506,1,96
14211509,1,96
14211547,1,96
14211547,2,96
14211547,3,96
14211562,1,3
14211562,2,96
14211563,1,96
14211563,2,96
14211564,1,98
14211565,1,96
14211566,1,8
14211566,2,96
14211610,1,96
14211610,2,96
14211611,1,96
14211611,2,96
14211612,1,96
14211613,1,96
14211613,2,96
14211614,1,96
14211614,2,96
14211615,1,96
14211615,2,6
14211687,1,96
14211687,2,96
14211688,1,96
14211688,2,96
14211688,3,96
14211689,1,96
14211689,2,96
14211690,1,96
14211691,1,98
14211691,2,96
14211692,1,96
14211692,2,8
14211724,1,96
14211724,2,96
14212224,1,96
14212224,2,96
14212225,1,96
14212225,2,96
14212225,3,96
14212227,1,96
14212227,2,96
14212286,1,96
14212286,2,99
14212287,1,96
14212287,2,8
14212288,1,96
14212288,2,96
14212289,1,96
14212289,2,96
14212320,1,96
14212320,2,96
14212321,1,8
14212322,1,96
14212323,1,99
14212324,1,96
14212324,2,96
14212327,1,96
14212327,2,96
14212359,1,96
14212359,2,96
14212359,3,96
14212361,1,96
14212361,2,3
14212363,1,96
14212364,1,96
14212364,2,96
14212383,1,96
14212383,2,96
14212385,1,96
14212385,2,96
14212411,1,96
14212411,2,96
14212411,3,96
14212411,4,96
14212469,1,96
14213861,1,96
14213861,2,98
14213868,1,96
14213871,1,8
14213871,2,96
14213873,1,8
14213880,1,96
14213880,2,96
14213887,1,99
14214349,1,96
14214349,2,96
14214349,3,96
14214362,1,96
14214362,2,8
14214364,1,96
14214364,2,98
14214386,1,8
14214386,2,96
14214386,3,96
14214928,1,96
14214932,1,96
14214933,1,96
14214933,2,96
14214935,1,8
14214935,2,8
14214992,1,8
14214992,2,96
14214993,1,96
14214993,2,96
14214995,1,96
14214995,2,96
14214996,1,99
14214996,2,99
14215055,1,96
14215055,2,96
14215056,1,96
14215056,2,96
14215056,3,96
14215056,4,96
14215058,1,96
14215058,2,96
14215058,3,96
14215059,1,5
14215059,2,96
14215060,1,96
14215060,2,96
14215061,1,96
14215061,2,96
14215100,1,99
14215100,2,96
14215100,3,96
14215326,1,98
14215326,2,96
14215389,1,96
14215389,2,96
14215420,1,96
14215421,1,99
14215421,2,96
14215421,3,96
14215422,1,98
14215422,2,96
14215447,1,99
14215447,2,98
14215531,1,96
14215531,2,96
14215851,1,99
14215851,2,96
14216421,1,96
14216421,2,99
14216779,2,96
14217183,1,99
14217603,1,96
14217603,2,96
14217639,1,99
14217643,1,98
14217643,2,96
14217643,3,96
14217646,1,99
14217647,1,98
14217647,2,96
14217904,1,8
14217904,2,96
14217907,1,96
14217907,2,96
14217930,1,96
14217930,2,96
14217931,1,98
14217931,2,96
14218330,1,96
14218330,2,98
14218332,1,96
14218335,1,96
14218335,2,96
14218336,1,96
14218336,2,96
14218337,1,96
14218337,2,96
14218338,1,96
14218381,1,99
14218382,1,99
14218383,1,99
14218384,1,96
14218385,1,96
14218463,1,96
14218463,2,96
14218464,1,96
14218464,2,96
14218466,1,98
14218466,2,96
14218467,1,96
14218468,1,96
14218468,2,96
14218469,1,96
14218469,2,96
14218514,1,8
14218533,1,96
14218537,1,96
14218537,2,8
14218538,1,96
14218539,1,96
14218573,1,96
14218573,2,96
14218574,1,99
14218575,1,99
14218575,2,8
14218577,1,96
14218577,2,96
14218913,1,96
14218913,2,96
14219072,1,99
14219124,1,96
14219125,1,96
14219126,1,96
14219127,1,96
14219127,2,96
14219128,1,96
14219128,2,96
14219129,1,96
14219129,2,98
14219129,3,96
14219153,1,96
14219153,2,96
14219154,1,96
14219154,2,6
14219155,1,8
14219155,2,2
14219156,1,99
14219156,2,96
14219177,1,96
14219177,2,2
14219178,1,99
14219178,2,99
14219178,3,99
14219179,1,99
14219179,2,8
14219217,1,96
14219217,2,96
14219854,1,96
14219866,1,96
14219866,2,96
14219867,1,96
14220075,1,96
14220075,2,96
14220075,3,96
14220077,1,96
14220077,2,96
14220081,1,8
14220084,1,99
14220149,1,96
14220149,2,96
14220150,1,96
14220150,2,96
14220153,1,96
14220153,2,96
14221039,1,96
14221039,2,96
14221039,3,96
14221039,4,96
14221089,1,96
14221089,2,96
14221091,1,96
14221091,2,96
14221091,3,96
14221091,4,96
14221096,1,8
14221313,1,99
14221313,2,96
14221359,3,96
14221360,1,96
14221360,2,96
14221515,1,96
14221515,2,96
14221516,1,96
14221516,2,96
14221516,3,96
14221517,1,96
14221517,2,96
14221518,1,8
14221518,2,96
14221637,1,96
14222662,1,96
14222668,1,8
14222726,1,99
14222726,2,96
