Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt
14205930,1,2,2,6,5,25,2,2,1,3,2,97,N,,,,,,,0,0,0,1,0,0,0
14205963,2,2,2,3,5,25,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14205963,2,3,2,4,5,7,1,2,1,5,2,97,N,,,,,,,0,0,0,1,0,0,0
14205963,2,4,2,6,5,4,1,1,1,5,2,97,N,,,,,,,0,0,0,1,0,0,0
14205966,1,2,2,3,3,68,2,1,1,10,2,97,N,,,,,,,0,0,1,0,0,1,0
14206010,1,2,2,3,3,0,1,2,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
14206013,1,2,2,3,3,33,1,1,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
14206013,2,2,2,3,3,28,1,1,1,1,1,97,N,,,,,,,0,0,1,0,0,1,0
14206037,1,2,2,3,3,55,3,1,1,10,2,97,N,,,,,,,0,0,1,0,0,1,0
14206037,1,3,2,6,3,4,3,2,1,10,2,97,N,,,,,,,0,0,1,0,0,1,0
14206037,1,4,2,5,3,6,3,1,1,10,2,97,N,,,,,,,0,0,1,0,0,1,0
14206037,2,2,2,3,2,21,,1,1,10,3,97,N,,,,,,,0,1,0,0,0,1,0
14206038,2,2,2,5,5,2,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14206039,2,2,2,3,5,29,1,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
14206039,2,3,2,6,5,30,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14206052,2,2,2,3,3,24,1,1,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
14206079,2,2,2,3,0,27,2,1,1,1,3,97,N,,,,,,,0,0,0,0,1,0,0
14206079,2,3,2,4,0,12,2,1,1,1,3,97,N,,,,,,,0,0,0,0,1,0,0
14206079,2,4,2,4,0,6,2,1,1,1,3,97,N,,,,,,,0,0,0,0,1,0,0
14206099,2,2,2,3,2,56,2,2,1,1,2,97,N,,,,,,,0,1,0,0,0,1,0
14206110,1,2,2,3,5,64,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14206982,2,2,2,3,5,25,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14206982,3,2,2,3,5,23,1,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
14206982,4,2,2,3,5,24,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14207797,2,2,2,3,5,,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14207909,1,2,2,3,5,27,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14207961,3,2,2,6,5,70,4,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14207962,2,2,2,3,5,20,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14211440,2,2,2,4,5,7,2,1,4,1,1,97,N,,,,,,,0,0,0,1,0,0,0
14211440,2,3,2,3,5,5,2,1,4,1,1,97,N,,,,,,,0,0,0,1,0,0,0
14211493,1,2,2,3,5,,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14211493,1,3,2,6,5,,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14211493,1,4,2,4,5,,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14211493,2,2,2,3,5,,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14211493,2,3,2,4,2,,2,2,1,1,2,97,N,,,,,,,0,1,0,0,0,1,0
14211493,2,4,2,6,2,,2,2,1,1,2,97,N,,,,,,,0,1,0,0,0,1,0
14211497,1,2,2,3,5,40,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14211497,1,3,2,6,5,13,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14211562,1,2,2,3,2,25,1,1,1,1,3,97,N,,,,,,,0,1,0,0,0,1,0
14211687,2,2,2,4,5,6,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14211687,2,3,2,6,5,3,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14211688,3,2,2,3,5,0,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14211691,1,2,2,3,5,25,1,1,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
14211692,2,2,2,6,5,1,2,2,1,5,2,97,N,,,,,,,0,0,0,1,0,0,0
14212227,1,2,2,3,1,30,2,1,1,10,3,97,N,,,,,,,1,0,0,0,0,1,0
14212289,1,2,2,3,5,,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14212321,1,2,2,6,5,18,2,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
14212321,1,3,2,3,5,17,2,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
14212327,1,2,2,3,5,25,1,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
14212359,1,2,2,3,2,50,2,2,1,1,3,97,N,,,,,,,0,1,0,0,0,1,0
14212359,1,3,2,4,2,36,2,2,1,1,3,97,N,,,,,,,0,1,0,0,0,1,0
14212359,2,2,2,4,3,4,1,1,1,4,2,97,N,,,,,,,0,0,1,0,0,1,0
14212359,3,2,2,4,3,2,1,1,1,4,2,97,N,,,,,,,0,0,1,0,0,1,0
14212361,1,2,2,3,5,19,2,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
14213871,1,2,2,3,5,27,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14213871,1,3,2,4,5,7,3,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14213871,1,4,2,5,5,6,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14213887,1,2,2,3,5,20,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14214362,2,2,2,3,3,36,2,1,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
14214362,2,3,2,6,5,4,2,1,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
14214362,2,4,2,4,5,1,2,2,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
14214364,2,2,2,3,5,60,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14214386,1,2,2,3,2,30,2,1,1,2,2,97,N,,,,,,,0,1,0,0,0,1,0
14214928,1,2,2,3,5,47,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14214932,1,2,2,3,5,19,2,2,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
14214932,1,3,2,6,3,12,3,1,1,1,1,97,N,,,,,,,0,0,1,0,0,1,0
14214996,2,2,2,6,5,9,,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14214996,2,3,2,4,5,6,,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
14214996,2,4,2,3,5,38,,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
