Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
11152580,3,1
11153849,1,20
11153849,2,19
11154056,1,99
11154056,2,19
11154058,1,19
11154058,2,19
11154058,3,1
11154059,1,19
11154059,2,98
11154059,3,1
11154064,1,19
11154064,2,19
11154065,1,20
11154065,2,19
11154065,3,20
11154065,4,19
11154069,1,1
11154069,2,19
11154070,1,19
11154070,2,19
11154246,1,20
11154246,2,20
11154420,1,1
11154424,1,19
11154425,1,19
11154425,2,1
11154984,1,19
11154984,2,1
11154992,1,1
11154992,2,1
11154995,1,1
11154996,1,1
11154996,2,19
11156149,1,19
11156149,2,19
11156149,3,19
11156151,1,19
11156151,2,19
11156152,1,19
11156152,2,1
11156153,1,19
11156156,1,19
11156156,2,1
11156157,1,1
11156157,2,19
11156158,1,1
11156158,2,1
11156159,1,19
11156159,2,98
11156198,1,19
11156198,2,19
11156976,1,1
11156976,2,1
11157585,1,1
11157585,2,19
11157586,1,99
11157586,2,19
11157587,1,1
11157587,2,1
11157588,1,99
11157591,1,1
11157591,2,20
11157596,1,19
11157596,2,19
11159534,2,1
11160519,1,19
11160519,2,20
11160525,2,1
11160533,1,1
11160546,1,19
11160546,2,1
11160550,1,19
11160550,2,19
11161386,1,99
11161386,2,20
11161390,1,1
11161406,1,19
11161408,1,19
11161408,2,19
11161441,1,1
11161441,2,1
11161803,1,1
11161809,1,98
11161809,2,19
11161810,1,99
11161829,1,1
11161829,2,1
11161834,1,19
11161848,1,19
11161850,1,19
11162543,1,19
11162596,2,20
11162598,1,20
11162617,1,19
11162617,2,19
11162718,1,20
11162718,2,19
11162724,1,99
11162724,2,20
11162731,1,19
11162731,2,1
11162878,1,1
11162881,1,1
11162881,2,1
11162907,1,1
11162907,1,21
11162908,1,1
11163704,1,1
11163709,1,19
11163709,2,19
11163718,1,1
11163720,1,19
11163720,2,19
11163724,1,11
11163724,2,19
11163728,1,1
11163728,2,19
11163729,1,19
11163730,1,20
11163730,2,19
11163742,1,20
11163742,3,1
11163774,2,1
11163777,1,19
11163779,1,1
11163779,2,19
11163905,1,20
11163907,1,19
11163907,2,19
11163910,1,19
11163910,2,19
11163955,1,1
11163955,2,19
11163963,2,19
11163968,1,1
11163968,2,19
11163971,1,19
11163971,2,19
11163972,1,99
11163972,2,1
11163974,1,21
11163974,2,1
11163974,2,26
11163975,1,19
11163975,2,19
11163976,1,1
11163976,2,19
11163980,2,1
11163995,1,1
11163995,2,1
11163997,1,98
11163997,2,19
11163999,1,1
11163999,2,19
11164022,1,1
11164022,2,19
11164022,3,29
11164917,1,19
11164917,2,19
11164920,1,19
11164920,2,1
11165437,1,1
11165445,1,19
11165445,2,1
11165468,1,1
11165512,1,1
11165625,1,19
11165656,1,20
11165656,2,20
11165659,1,19
11165659,2,99
11165661,1,19
11165662,1,1
11165669,1,1
11165842,2,1
11165843,1,19
11165843,2,1
11165843,3,19
11165904,1,1
11165904,2,19
11165905,1,11
11165905,2,19
11166519,1,20
11166519,2,19
11166522,1,99
11166523,2,1
11166524,1,98
11166524,2,19
11166525,1,98
11166525,2,19
11166529,1,19
11166529,2,19
11166534,1,1
11166534,2,19
11166560,1,1
11166560,2,1
11167448,1,19
11167455,1,19
11167455,2,1
11167457,1,19
11167484,1,19
11167592,2,19
11167695,1,19
11167695,2,19
11167781,1,20
11167781,2,1
11167785,1,19
11167785,2,19
11167800,1,1
11167801,2,19
11167805,1,1
11167805,2,1
11167807,1,19
11167807,2,1
11167820,1,1
11167825,1,19
11167825,2,19
11167841,1,19
11167841,2,19
11167851,1,1
11167851,2,19
11167861,1,1
11167861,2,19
11168418,1,98
11168632,1,20
11168642,1,20
11168846,1,19
11168846,2,1
11168848,1,1
11168848,2,19
11168850,1,19
11168850,2,19
11168872,1,1
11168872,2,1
11168979,1,1
11168979,2,1
11169202,1,19
11169202,2,19
11169232,1,1
11169232,2,1
11169236,1,1
11169236,2,19
11169236,3,1
11169236,4,1
11169238,1,19
11169238,2,19
11169238,3,1
11169240,1,19
11169240,2,19
11169250,1,1
11169250,2,1
11169251,1,1
11169251,2,1
11169251,3,19
11169369,1,1
11169473,1,1
11169473,1,11
11169473,2,11
11169488,1,99
11169492,1,19
11169492,2,1
11169492,3,19
11169493,1,10
11169504,1,21
11169504,2,1
11169508,1,19
11169508,2,19
11169572,1,1
11169596,1,1
11169596,2,1
11169596,2,26
11169599,2,1
11169603,1,19
11169603,2,19
11169611,1,19
11169611,2,1
11169615,1,20
11169635,1,20
11169636,1,19
11169636,2,19
11169639,1,1
11169639,2,19
11169639,3,1
11169644,1,19
11169644,2,19
11169646,1,19
11169743,1,1
11169743,2,19
11169743,3,19
11169745,1,19
11169745,2,1
11169747,2,1
11169786,2,1
11171147,1,19
11171148,1,1
11171148,2,19
11171149,1,99
11171149,2,19
11175150,1,1
11175958,1,19
11175958,2,19
11176828,2,19
11178422,1,11
11178423,1,21
11178424,1,19
11178424,2,1
11178590,1,19
11178590,2,19
11178591,1,19
11178591,2,19
11178603,1,19
11178647,1,99
11178647,2,19
11179864,1,19
11182955,1,1
11182955,1,23
11182955,2,19
11184816,1,19
11184816,2,1
11184830,1,99
11184831,1,19
11184831,2,19
11184832,1,19
11184832,2,19
11184833,1,29
11184833,2,1
11184833,3,1
11184833,5,19
11184837,1,19
11184837,2,19
11184849,1,20
11184849,2,1
11184853,1,1
11184853,2,1
11184854,1,99
11184854,2,20
11184855,1,1
11184856,2,99
11184859,1,19
11184859,2,9
11184864,1,19
11184864,2,99
11184864,3,98
11184864,4,99
11184866,1,19
11184868,1,19
11184868,2,1
11184870,1,98
11184870,2,1
11184870,3,19
11184871,1,19
11184872,1,20
11184872,2,19
11184873,1,19
11184873,2,19
11184877,1,1
11184877,2,19
11184880,1,19
11184880,2,1
11184882,1,19
11184882,2,19
11184883,1,19
11184883,2,19
11184886,1,19
11184886,2,19
11184886,3,1
11184888,1,1
11184896,1,19
11184896,2,19
11184897,1,99
11184898,1,20
11184911,1,19
11184912,1,19
11184912,2,1
11184912,3,1
11184916,1,19
11184916,2,19
11184920,2,21
11184923,1,19
11184923,2,19
11184925,1,19
11184925,2,19
11184930,1,19
11184940,2,1
11184941,1,19
11184941,2,19
11184941,3,19
11184943,1,99
11184943,2,1
11184946,1,1
11184946,2,1
11184948,1,1
11184948,2,19
11184953,1,99
11184954,1,1
11184954,2,19
11184954,3,99
11184954,4,99
11184955,1,20
11184957,1,99
11184957,2,99
11184958,2,20
11184958,3,1
11184959,1,1
11184959,2,19
11184960,1,1
11184960,2,19
11184960,3,1
11184961,1,99
11184961,2,99
11184962,1,19
11184962,2,1
11184962,3,19
11184962,4,1
11184965,1,20
11184966,1,20
11184966,2,19
11184967,1,1
11184967,2,19
11184971,1,20
11184971,2,19
11184971,3,19
11184972,1,19
11184972,2,1
11184972,2,14
11184981,1,99
11184981,2,99
11184982,1,19
11184982,2,1
11184991,1,1
11184991,2,19
11184991,3,1
11184993,1,20
11184993,2,99
11184994,1,1
11184994,2,1
11184995,1,1
11184995,2,19
11184996,1,99
11184998,1,19
11184998,2,19
11184999,1,99
11185001,1,1
11185001,2,1
11185001,3,19
11185004,1,1
11185004,2,1
11185004,3,19
11185006,1,25
11185006,2,19
11185007,1,1
11185008,1,1
11185012,1,19
11185015,1,99
11185015,2,99
11185016,1,99
11185017,1,1
11185017,2,19
11185018,1,19
11185018,2,99
11185019,1,19
11185019,2,19
11185022,1,11
11185022,2,99
11185023,1,99
11185024,1,99
11185026,1,19
11185026,2,19
11185030,1,19
11185031,2,1
11185032,1,19
11185032,2,99
11185035,1,19
11185038,1,19
11185041,1,1
11185041,2,1
11185042,2,1
11185047,1,1
11185050,1,1
11185050,2,1
11185054,1,1
11185055,2,19
11185106,1,1
11185108,1,99
11185108,2,19
11185108,3,19
11185108,4,1
11185112,1,19
11185112,2,19
11185117,1,19
11185118,1,98
11185118,3,98
11185118,5,19
11185118,7,98
11185118,9,11
11185120,1,1
11185120,2,19
11185279,1,1
11185279,2,99
11185282,1,19
11185283,1,19
11185283,2,19
11185285,1,20
11185285,2,19
11185285,3,19
11185290,2,19
11185293,1,1
11185296,1,1
11185296,2,19
11185297,1,19
11185297,2,19
11185300,1,99
11185300,2,19
11185303,1,99
11185303,2,99
11185304,1,19
11185305,1,19
11185305,2,19
11185306,1,19
11185312,1,1
11185312,2,98
