Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
13059953,1,1
13059953,2,1
13060329,1,19
13060329,2,19
13067477,1,99
13067477,2,19
13067478,1,99
13067478,2,19
13067487,1,1
13067489,1,20
13067492,1,1
13067497,1,1
13067498,1,99
13067547,1,1
13067894,1,1
13070711,1,21
13070711,1,22
13072639,1,19
13072639,2,1
13072896,1,20
13072896,2,19
13079199,1,1
13079200,1,99
13079683,1,1
13079685,1,20
13079685,2,1
13079699,1,20
13079700,1,20
13079702,1,1
13079704,1,1
13079704,2,1
13079705,1,99
13079708,1,26
13079708,2,26
13079709,1,1
13079709,2,99
13079712,2,20
13079714,1,19
13079714,2,19
13079715,1,20
13079718,2,1
13079719,1,1
13079719,2,1
13079723,1,19
13079723,2,19
13079725,1,20
13079728,1,99
13079729,2,1
13079731,1,19
13079731,2,20
13079734,2,1
13079736,1,21
13079736,2,20
13079738,1,1
13079739,1,1
13079742,1,20
13079744,1,20
13079744,2,20
13079748,1,1
13079752,1,20
13079753,4,1
13079754,1,1
13079755,1,99
13079755,2,20
13079756,1,1
13079758,1,20
13079764,1,20
13079766,3,20
13079769,1,1
13079772,1,1
13079772,2,1
13079773,1,1
13079774,1,1
13079776,2,1
13079778,1,1
13079779,1,1
13079780,1,99
13079782,1,21
13079786,1,99
13079787,1,20
13079787,2,20
13079788,1,99
13079788,2,20
13079790,1,1
13079792,1,1
13079792,3,1
13079793,1,1
13079796,1,1
13079796,2,20
13079796,3,21
13079799,2,1
13079800,1,1
13079800,2,19
13079803,1,1
13079804,1,1
13079805,1,1
13079806,1,1
13079812,1,99
13079815,1,1
13079816,2,20
13079818,1,1
13079819,1,1
13079826,1,1
13079827,2,20
13079835,4,1
13080910,1,1
13080910,2,1
13081181,1,1
13081933,1,19
13081933,2,19
13081933,3,1
13081938,2,1
13081939,1,1
13081939,2,19
13081940,1,19
13081940,2,1
13081944,1,19
13081945,1,1
13081946,1,1
13081947,1,99
13081948,1,1
13081950,1,19
13081950,2,98
13081958,1,1
13081959,1,1
13081960,1,1
13081961,2,1
13081964,1,20
