Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
12484284,1,99
12484286,1,96
12484286,2,96
12484286,3,96
12484289,1,96
12484289,2,96
12484291,1,98
12484294,1,96
12484295,1,96
12484295,2,96
12484296,1,99
12484296,2,99
12484296,3,98
12484296,4,99
12484297,1,96
12484297,2,99
12484298,1,99
12484298,2,96
12484299,1,96
12484299,2,96
12484300,1,96
12484300,2,96
12484301,1,8
12484302,1,96
12484304,1,99
12484305,1,96
12484306,1,96
12484306,2,96
12485186,1,99
12485211,1,99
12485218,1,99
12485223,1,99
12485227,1,96
12485227,2,99
12485247,1,8
12485252,1,99
12485255,1,96
12485264,1,96
12485264,2,5
12485279,1,99
12485279,2,99
12485280,1,96
12485280,2,96
12485281,1,99
12485281,2,96
12485285,2,99
12485287,1,96
12485296,1,96
12485296,2,96
12485296,3,3
12485296,3,4
12485296,3,6
12485307,1,99
12485307,2,99
12485308,1,8
12485308,2,96
12485313,1,8
12485322,1,96
12485322,2,96
12486777,2,3
12486779,1,2
12486779,1,5
12487963,1,96
12487963,2,96
12497237,1,96
12497237,2,96
12498084,1,96
12498084,3,2
12498084,3,3
12498085,1,99
12498085,2,99
12498087,1,99
12498087,2,99
12498625,1,96
12498625,2,96
12498650,1,99
12498651,1,96
12498651,2,96
12498655,1,96
12498686,3,8
12498690,1,99
12498700,1,8
12498702,1,99
12498702,2,8
12498706,1,96
12498707,1,99
12498709,1,8
12498709,2,96
12498710,2,99
12498714,1,2
12498714,3,3
12498715,1,8
12498721,1,8
12498721,2,8
12498727,2,2
12498729,1,3
12498734,1,96
12498734,2,96
12498745,1,99
12498745,2,8
12498749,1,99
12498752,1,96
12498752,2,96
12498777,2,8
12498780,1,96
12498780,2,8
12498783,2,96
12498785,1,96
12498785,2,96
12498789,1,96
12498789,2,96
12498792,1,96
12498792,2,96
12498795,1,96
12498795,2,96
12498795,3,96
12498838,1,99
12498841,1,96
12498841,2,96
12498842,1,96
12498848,1,8
12498876,1,99
12498881,1,96
12498882,2,8
12498883,1,96
12498883,2,3
12498888,2,2
12498915,1,8
12498929,1,96
12498929,2,8
12498941,1,8
12498962,1,8
12498964,1,96
12498976,1,96
12498978,1,96
12498980,1,96
12498988,2,8
12498991,1,96
12498992,1,8
12498996,1,8
12499010,1,96
12499010,2,96
12499101,2,99
12499105,1,99
12499121,1,8
12499121,3,3
12499121,3,6
12499123,2,8
12499165,1,96
12499165,2,96
12499169,2,8
12499173,2,96
12499178,1,96
12499178,2,96
12499445,1,96
12499446,1,5
12499447,1,96
12499447,2,96
12499448,1,96
12499448,2,96
12499449,1,96
12499449,2,96
12499451,1,96
12499451,2,96
12499452,1,2
12499452,1,5
12499453,1,99
12499454,1,96
12499454,2,96
12499456,1,96
12499456,2,96
12499456,3,96
12499457,1,96
12499457,2,96
12499458,1,96
12499458,2,96
12499459,1,96
12499459,2,96
12499459,3,96
12499460,1,96
12499462,1,96
12499462,2,96
12499463,1,96
12499472,1,96
12499472,2,96
12499474,1,99
12499474,2,99
12499476,1,96
12499476,2,96
12499476,3,96
12499477,1,8
12499478,1,96
12499478,2,96
12499481,1,96
12499484,1,8
12499484,2,96
12499486,1,96
12499486,2,96
12499487,1,96
12499487,2,98
12499489,1,96
12499490,1,98
12499491,1,96
12499492,1,96
12502404,1,8
12507462,1,96
12507462,2,2
12507749,1,99
12507749,2,99
12508780,1,96
12508780,2,96
12508781,1,96
12508781,2,96
12510314,1,99
12510314,2,8
12510325,1,99
12510331,1,8
12510357,1,8
12510358,1,96
12510358,2,96
12510364,1,8
12510366,1,8
12510368,1,8
12510391,1,96
12510392,1,96
12510396,1,8
12510416,1,96
12510416,2,96
12510422,1,96
12510422,2,96
12510426,1,8
12510455,2,8
12510460,1,96
12510460,2,96
12510464,3,2
12510464,3,5
12510514,1,99
12510515,1,2
12510520,3,99
12510525,1,99
12510528,1,99
12510533,2,8
12510537,1,2
12510542,1,99
12510552,1,99
12510554,1,96
12510554,2,96
12510556,1,96
12510556,2,96
12510591,1,96
12510591,2,96
12510591,3,96
12510596,2,8
12510602,1,8
12510606,2,99
12510644,1,96
12510644,2,96
12510646,1,8
12510654,1,8
12510660,1,96
12510660,2,96
12510660,3,96
12510661,1,96
12510661,2,96
12510676,1,8
12510696,1,3
12510696,3,3
12510702,1,96
12510702,2,96
12510724,2,99
12510728,1,96
12510728,2,96
12510732,1,99
12510732,2,96
12510733,1,96
12510733,2,96
12510735,1,96
12510735,2,96
12510736,1,96
12510736,2,96
12510740,1,8
12510757,2,8
12510759,1,96
12510759,2,96
12510761,1,8
12510761,2,8
12510763,1,96
12510763,2,96
12510766,1,7
12510766,2,98
12510766,3,96
12510767,1,99
12510767,2,99
12510769,1,96
12510770,1,96
12510770,2,96
12510770,3,96
12510779,1,96
12510779,2,96
12510782,1,8
12510783,1,3
12510783,2,96
12510784,1,99
12510785,1,96
12510786,1,96
12510788,1,96
12510788,2,96
12510790,1,99
12510790,2,96
12510791,1,96
12510791,2,96
12510793,1,96
12510793,2,96
12510794,1,99
12510796,1,96
12510797,1,96
12510797,2,96
12510800,2,96
12510802,1,96
12510803,1,99
12510803,2,99
12510806,1,96
12510807,1,99
12510807,2,98
12510807,4,99
12510807,5,8
12510808,1,8
12510808,2,96
12510808,3,5
12510809,2,99
12510810,1,2
12513739,1,96
12513739,2,96
12513777,1,96
12524591,1,99
12524783,1,6
12524783,3,98
12524818,1,2
