Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
12484284,1,1
12484286,1,1
12484286,2,1
12484286,3,19
12484289,1,1
12484289,2,19
12484291,1,98
12484294,1,19
12484295,1,19
12484295,2,19
12484296,1,99
12484296,2,99
12484296,3,98
12484296,4,99
12484297,1,19
12484297,2,99
12484298,1,99
12484298,2,19
12484299,1,19
12484299,2,19
12484300,1,19
12484300,2,19
12484301,1,20
12484302,1,1
12484304,1,99
12484305,1,19
12484306,1,19
12484306,2,19
12485186,1,99
12485186,2,99
12485188,1,1
12485189,1,1
12485189,2,1
12485190,1,1
12485203,2,1
12485203,3,1
12485206,2,1
12485207,2,29
12485211,1,99
12485211,2,1
12485218,1,99
12485221,2,1
12485221,5,1
12485223,1,99
12485227,1,19
12485227,2,19
12485229,1,1
12485229,2,1
12485243,3,1
12485245,1,21
12485247,1,20
12485252,1,99
12485255,1,1
12485257,1,1
12485264,1,1
12485264,2,19
12485271,2,1
12485272,2,1
12485274,1,1
12485274,1,14
12485279,1,99
12485279,2,99
12485280,1,1
12485280,2,19
12485281,1,99
12485281,2,23
12485285,1,1
12485285,2,1
12485287,1,98
12485287,2,1
12485296,1,1
12485296,2,1
12485296,3,19
12485302,2,1
12485307,1,19
12485307,2,99
12485308,1,20
12485308,2,1
12485309,1,1
12485309,3,1
12485311,2,1
12485313,1,20
12485319,3,1
12485320,1,1
12485322,1,1
12485322,2,19
12485326,2,1
12486779,1,19
12487963,1,19
12487963,2,19
12497237,1,19
12497237,2,19
12498084,1,19
12498084,3,98
12498085,1,99
12498085,2,99
12498087,1,99
12498087,2,99
12498625,1,19
12498625,2,1
12498627,2,1
12498630,2,1
12498633,2,1
12498636,1,1
12498638,1,1
12498640,2,1
12498650,1,99
12498651,1,1
12498651,2,1
12498654,1,1
12498658,2,1
12498658,2,29
12498660,1,1
12498686,3,20
12498690,1,99
12498700,1,20
12498702,1,99
12498702,2,20
12498703,1,1
12498704,1,1
12498706,1,19
12498707,1,99
12498709,1,20
12498709,2,1
12498710,1,1
12498710,2,99
12498711,1,1
12498712,1,1
12498713,2,1
12498714,1,10
12498715,1,20
12498718,1,23
12498718,3,1
12498719,1,1
12498721,1,20
12498721,2,20
12498725,1,1
12498727,1,1
12498728,1,1
12498729,2,1
12498734,1,19
12498734,2,19
12498745,1,99
12498745,2,20
12498749,1,99
12498752,1,19
12498752,2,19
12498777,2,20
12498778,1,1
12498780,1,1
12498780,2,20
12498781,1,1
12498783,2,19
12498785,1,19
12498785,2,1
12498787,2,1
12498789,1,19
12498789,2,1
12498789,4,1
12498792,1,19
12498792,2,19
12498793,2,1
12498795,1,19
12498795,2,1
12498795,3,19
12498838,1,99
12498841,1,19
12498841,2,19
12498842,1,1
12498843,1,23
12498843,2,1
12498846,1,1
12498847,2,1
12498848,1,20
12498848,3,1
12498848,4,1
12498876,1,99
12498881,1,19
12498882,2,20
12498883,1,19
12498883,2,1
12498886,2,1
12498888,1,1
12498890,1,1
12498915,1,20
12498916,2,1
12498919,1,1
12498921,1,1
12498921,1,23
12498929,1,21
12498929,2,20
12498941,1,20
12498958,2,1
12498960,1,23
12498962,1,20
12498962,2,1
12498964,1,1
12498968,2,1
12498972,1,1
12498976,1,1
12498978,1,19
12498980,1,19
12498982,1,1
12498986,1,1
12498986,2,1
12498988,2,20
12498991,1,1
12498992,1,20
12498992,2,1
12498996,1,20
12498997,1,1
12499010,1,1
12499010,2,19
12499101,2,99
12499103,1,1
12499103,2,21
12499103,2,22
12499105,1,99
12499111,1,14
12499113,1,1
12499115,1,1
12499117,2,1
12499121,1,20
12499123,2,20
12499163,1,1
12499165,1,1
12499165,2,19
12499169,2,20
12499170,2,1
12499171,1,1
12499173,2,19
12499174,1,1
12499178,1,98
12499178,2,19
12499445,1,19
12499446,2,1
12499447,1,19
12499447,2,19
12499448,1,19
12499448,2,1
12499449,1,1
12499449,2,19
12499451,1,1
12499451,2,19
12499452,1,1
12499452,2,1
12499453,1,99
12499454,1,98
12499454,2,23
12499456,1,1
12499456,1,15
12499456,2,1
12499456,3,1
12499457,1,19
12499457,2,19
12499458,1,19
12499458,2,19
12499459,1,1
12499459,2,98
12499459,3,98
12499460,1,19
12499462,1,1
12499462,2,1
12499463,1,1
12499472,1,19
12499472,2,19
12499474,1,99
12499474,2,99
12499476,1,1
12499476,2,19
12499476,3,19
12499477,1,20
12499477,2,19
12499478,1,19
12499478,2,1
12499481,1,19
12499484,1,20
12499484,2,1
12499486,1,19
12499486,2,26
12499487,1,1
12499487,2,98
12499489,1,19
12499489,2,1
12499490,1,98
12499491,1,1
12499492,1,1
12502404,1,20
12502404,2,1
12506871,1,99
12506871,2,99
12507462,1,19
12507462,2,19
12507749,1,99
12507749,2,99
12508780,1,19
12508780,2,19
12508781,1,19
12508781,2,1
12510314,1,99
12510314,2,20
12510317,1,10
12510319,1,1
12510319,2,1
12510320,1,1
12510320,2,1
12510324,1,1
12510325,1,99
12510329,1,1
12510331,1,20
12510357,1,20
12510358,1,19
12510358,2,1
12510360,1,1
12510362,1,1
12510362,2,1
12510363,1,1
12510364,1,20
12510366,1,20
12510368,1,20
12510381,2,1
12510389,1,1
12510389,2,1
12510391,1,19
12510392,1,19
12510393,2,1
12510393,3,1
12510394,2,1
12510396,1,20
12510399,1,1
12510400,1,1
12510416,1,19
12510416,2,19
12510420,2,1
12510422,1,19
12510422,2,1
12510425,1,1
12510425,2,1
12510426,1,20
12510426,2,1
12510430,3,1
12510453,1,1
12510453,2,1
12510455,2,20
12510459,2,1
12510460,1,19
12510460,2,19
12510464,3,1
12510465,1,1
12510514,1,99
12510514,2,1
12510515,1,1
12510515,2,1
12510520,2,1
12510523,2,1
12510525,1,99
12510528,1,99
12510530,1,1
12510530,2,1
12510533,2,20
12510534,1,1
12510537,1,1
12510542,1,99
12510543,1,1
12510552,1,99
12510552,2,1
12510554,1,1
12510554,2,1
12510556,1,1
12510556,2,1
12510591,1,1
12510591,2,19
12510591,3,19
12510594,2,1
12510596,2,20
12510599,1,1
12510599,1,25
12510599,2,1
12510602,1,20
12510603,2,19
12510606,2,99
12510608,1,1
12510610,2,1
12510638,1,1
12510642,2,1
12510644,1,19
12510644,2,19
12510646,1,20
12510648,1,1
12510650,1,1
12510654,1,20
12510655,1,1
12510660,1,19
12510660,2,19
12510660,3,1
12510661,1,1
12510661,2,19
12510665,2,1
12510676,1,20
12510696,1,26
12510696,2,1
12510696,3,26
12510702,1,19
12510702,2,1
12510714,2,1
12510724,2,99
12510728,1,19
12510728,2,19
12510729,2,1
12510730,2,1
12510731,1,1
12510731,2,1
12510732,1,99
12510732,2,19
12510733,1,19
12510733,2,19
12510735,1,19
12510735,2,19
12510736,1,19
12510736,2,19
12510740,1,20
12510757,2,20
12510759,1,19
12510759,2,19
12510761,1,20
12510761,2,20
12510763,1,1
12510763,2,19
12510765,1,1
12510766,1,1
12510766,2,98
12510766,3,1
12510766,3,21
12510767,1,99
12510767,2,99
12510769,1,19
12510770,1,19
12510770,2,19
12510770,3,1
12510771,2,1
12510779,1,19
12510779,2,19
12510782,1,20
12510783,1,11
12510783,2,1
12510784,1,99
12510785,1,1
12510786,1,19
12510788,1,19
12510788,2,1
12510790,1,99
12510790,2,19
12510791,1,19
12510791,2,19
12510793,1,19
12510793,2,19
12510794,1,99
12510796,1,19
12510797,1,1
12510797,2,19
12510799,1,1
12510800,1,1
12510800,2,19
12510800,3,1
12510802,1,19
12510803,1,1
12510803,1,15
12510803,1,17
12510803,2,99
12510806,1,1
12510807,1,1
12510807,2,98
12510807,4,99
12510807,5,20
12510808,1,20
12510808,2,19
12510809,2,5
12510809,2,14
12510809,2,31
12510810,1,1
12513739,1,11
12513739,2,11
12513750,1,1
12513776,1,1
12513777,1,19
12524591,1,99
12524783,1,99
12524783,3,98
12524818,1,1
12524818,2,99
12524845,1,1
12524845,2,20
12524846,1,1
12524846,1,14
12524846,2,19
12524847,1,19
12524847,2,1
12524848,1,98
12524849,1,1
12524849,2,99
12524850,1,1
12524850,2,20
12524851,1,1
12524852,1,1
12524852,2,1
12524852,3,19
12524854,1,19
12524854,2,20
12524855,2,99
