Crash_ID,Damaged_Property
12484303,FENCE (APPROX 20-50 FT)
12484303,TXDOT SIGN (PLANT ENTRANCE)
12484305,LIGHT POLE
12485195,3 COMMUNITY MAIL BOXES
12485218,UTILITIES (POLE AND HYDRANT)
12485218,CHAIN LINK FENCING
12485226,CITY SIGN (ONE WAY ARROW)
12485245,PROPER GUARD RAIL
12485271,WALK SIGNAL (MARY/FIRST)
12485274,GLASS DOORS/BUILDING STRUCTURE
12485296,US 290 STREET SIGN
12485313,TELEPHONE POLE #211733
12498630,BICYCLE
12498702,METAL BUS STOP SIGN
12498707,GAS APPARATUS
12498880,TREE
12498881,GUARD RAIL
12498887,BUILDING DAMAGE
12498992,GUARD RAIL ON S/B SIDE OF 12600 BLK N LA
12499111,PROPERTY
12499115,FRONT YARD GRASS
12499129,WRONG WAY SIGN
12499165,STONE AND WOOD FENCE
12499175,TRASH DUMPSTER
12499177,FENCE POLE & MAIL BOX & FENCE
12499453,STORM DRAIN COVER
12499476,STOP SIGN
12499481,"GUARD-RAIL, S MOPAC EXPY SB"
12499492,DIRECTIONAL SIGN/RAILING
12502403,TREE
12510331,MAILBOX
12510352,LIGHT POLE #388724
12510356,MINOR DAMAGE TO GUARDRAIL
12510357,DESK & MISC OFFICE ITEMS
12510357,"BRICK WALL, METAL POLE & RAILING"
12510359,"IRON & WOOD FENCE,3 ROCK COLUMNS"
12510391,CABLE GUARD RAIL
12510392,WOODEN GUARDRAIL
12510395,TRANSFORMER BOX
12510453,SPEED LIMIT SIGN
12510459,15' GUARDRAIL
12510532,CROSSWALK CONTROL BUTTON
12510544,CITY OF AUSTIN BARRIER
12510602,EXIT 228 FOOD SIGN
12510654,FENCE/BACKYARD
12510676,PHONE BOX-#407MP
12510676,CHAIN LINK FENCE
12510678,TREE
12510698,YELLOW FLASHING LIGHT
12510698,STEEL GUARD RAIL
12510700,GUARD RAIL
12510769,SUPPORT BEAM ON BUILDING
12510769,DOLLAR TREE WINDOW PANE
12510786,POLE
12510786,NO PARKING SIGN
12510802,IRON FENCE/LANDSCAPING
12510806,LIGHT POLE #385529
12513776,COW
12513777,COW
