Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt
12484286,2,2,2,3,5,23,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
12484286,2,3,2,4,5,20,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
12484286,2,4,2,6,5,20,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
12484286,3,2,2,3,3,55,1,2,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
12484289,1,2,2,3,5,43,2,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
12484289,1,3,2,4,5,10,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
12484289,1,4,2,6,5,14,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
12484289,2,2,2,3,5,37,2,2,1,1,0,97,N,,,,,,,0,0,0,1,0,0,0
12484291,1,2,99,12,5,26,5,1,1,10,3,97,N,,,,,,,0,0,0,1,0,0,0
12484295,2,2,2,4,0,,1,2,1,5,2,97,N,,,,,,,0,0,0,0,1,0,0
12484296,3,2,2,3,2,41,1,2,1,1,2,97,N,,,,,,,0,1,0,0,0,1,0
12484296,3,3,2,6,2,28,1,2,1,1,2,97,N,,,,,,,0,1,0,0,0,1,0
12484297,1,2,2,3,5,26,1,2,1,1,0,97,N,,,,,,,0,0,0,1,0,0,0
12484297,1,3,2,7,5,28,1,1,1,8,0,97,N,,,,,,,0,0,0,1,0,0,0
12484298,2,2,2,12,0,24,2,2,1,1,3,97,N,,,,,,,0,0,0,0,1,0,0
12484299,1,2,2,3,5,25,4,1,1,1,8,97,N,,,,,,,0,0,0,1,0,0,0
12484299,1,3,2,4,5,24,4,1,1,1,8,97,N,,,,,,,0,0,0,1,0,0,0
12484299,1,4,2,5,5,25,4,1,1,8,8,97,N,,,,,,,0,0,0,1,0,0,0
12484299,1,5,2,5,5,24,4,1,1,8,8,97,N,,,,,,,0,0,0,1,0,0,0
